assignment_id,scenario_id,anonymous_tutor,use_case,subject,criterion_id,primary_skill,criticality,criterion,grade,notes
grader_05_item_03,tb_0335,Tutor B,feedback,computer_science,tb_0335_c08,,not_critical,"The model's response should be written in the second person, addressed to the student.",,
grader_05_item_04,tb_0497,Tutor A,hint_generation,calculus,tb_0497_c01,diagnosis,critical,The response must say the student correctly found the equation of the tangent line at x=0.45 (y=-1.54x+3.732).,,
grader_05_item_04,tb_0497,Tutor A,hint_generation,calculus,tb_0497_c02,content,critical,The response must say the student correctly calculated (8x^3+4x^2-8.46x+2.268) / (x-0.45) = 8x^2+7.6x-5.04.,,
grader_05_item_04,tb_0497,Tutor A,hint_generation,calculus,tb_0497_c03,scaffolding,critical,The response must provide a hint on how to find the solutions for the quadratic function without explicitly saying to use the quadratic formula.,,
grader_05_item_04,tb_0497,Tutor A,hint_generation,calculus,tb_0497_c04,scaffolding,critical_negative,"The response must not provide the final correct answer, (-1.4, 5.89).",,
grader_05_item_04,tb_0497,Tutor A,hint_generation,calculus,tb_0497_c05,,not_critical,The response should refer to the student in the second person.,,
grader_05_item_04,tb_0497,Tutor A,hint_generation,calculus,tb_0497_c06,diagnosis,critical,"The response must acknowledge that the student is frustrated, and so it has to provide support by indicating that they are going in the right direction.",,
grader_05_item_05,tb_0507,Tutor B,hint_generation,physics,tb_0507_c01,,critical,The response must acknowledge the student's expressed feeling of being 'puzzled' or 'stuck'.,,
grader_05_item_05,tb_0507,Tutor B,hint_generation,physics,tb_0507_c02,diagnosis,critical,The response must address the student's direct question about mass by guiding them to consider the total mass of the system (box + weight).,,
grader_05_item_05,tb_0507,Tutor B,hint_generation,physics,tb_0507_c03,scaffolding,critical,The response must hint at the concept of linearizing a graph by suggesting the student manipulate the (to be found) equation to match the form y=mx+b.,,
grader_05_item_05,tb_0507,Tutor B,hint_generation,physics,tb_0507_c04,scaffolding,critical_negative,The response must not provide the specific formula T=2π(sqrt(m/k)) or directly state that the student should plot (T^2) vs. m.,,
grader_05_item_05,tb_0507,Tutor B,hint_generation,physics,tb_0507_c05,diagnosis,not_critical,"The response should validate the student's initial thoughts by praising their idea to think about the relationship between mass/period and graphing (e.g., 'You're on the right track...').",,
grader_05_item_05,tb_0507,Tutor B,hint_generation,physics,tb_0507_c06,,not_critical,"The response should use formatting (like bullet points or bolding) to separate distinct hints, making them easier for the student to read.",,
grader_05_item_05,tb_0507,Tutor B,hint_generation,physics,tb_0507_c07,scaffolding,critical,The response must provide the key hint to address the forgotten formula by suggesting the student find or refer to a formula sheet.,,
