model,scenarios_administered,criteria_administered,stop_reason,precision_reached,judge_lookups,judge_missing,obs_acc,theta_full_correctness,theta_cat_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_full_scaffolding,theta_cat_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding
HuggingFaceTB/SmolLM2-1.7B-Instruct,26,117,precision_reached,True,117,0,0.1501122334455668,0.27856196391447186,0.572577,0.3900367087133278,0.47128909240996897,0.245771,77,-0.8346740715995998,-0.345675,-0.6597523386315419,-0.693204957960773,0.248565,55
HuggingFaceTB/SmolLM2-135M,47,234,precision_reached,True,234,0,0.040892193308550186,-3.958219784214156,-2.592158,-3.55862939829614,-4.698063173201694,0.248675,184,0.5376924207367975,0.516966,0.5125721874996652,0.5583295919596123,0.248953,85
HuggingFaceTB/SmolLM2-360M,47,230,precision_reached,True,230,0,0.04424778761061947,-3.3626953593895825,-2.219986,-2.580655262415635,-2.8171694550966517,0.248322,178,0.721182210978731,1.060432,1.053463564008412,1.1312084467746637,0.245987,85
HuggingFaceTB/SmolLM2-360M-Instruct,50,246,max_scenarios_reached,False,246,0,0.06244796003330558,-1.4417475102104975,-1.348987,-1.444466868050905,-1.5175063564059084,0.247133,180,-0.7969806893750886,-0.58571,-0.6007300682897491,-0.6358930000792646,0.254755,105
LLM360/Amber,50,244,max_scenarios_reached,False,244,0,0.03648424543946932,-4.861662345638008,-2.81405,-3.621924348193769,-4.6274897631666745,0.259215,194,0.8492859278878826,0.874483,0.8618647676658069,0.9314676661585533,0.255039,81
Qwen/Qwen2-0.5B,46,220,precision_reached,True,220,0,0.03968914793227866,-2.6083602519009004,-1.790446,-1.9874314333419172,-2.1274356684558904,0.248165,170,-0.4505447588279179,-0.205046,-0.2750135301581656,-0.2767607762915211,0.249124,82
Qwen/Qwen2-1.5B,45,225,precision_reached,True,225,0,0.09474854126146151,-0.5418715254070714,-0.364758,-0.3975926425184813,-0.39190614194768086,0.244735,164,-1.2219625577040523,-1.202126,-1.1756252530118685,-1.2768296480511503,0.248822,106
Qwen/Qwen2-7B,12,51,precision_reached,True,51,0,0.27932960893854747,1.5999978882255521,1.285222,1.2389427660213794,1.3244257189718296,0.186446,45,0.06225360553423992,0.549968,0.1472074816138147,0.6413074045995251,0.200334,18
Qwen/Qwen2.5-0.5B,48,229,precision_reached,True,229,0,0.06343906510851419,-1.3358899498761034,-0.952041,-1.0037909640596023,-1.0363428481030552,0.249104,164,-1.0203081208488862,-0.851152,-0.8577844963793773,-0.9378288502708508,0.249662,104
Qwen/Qwen2.5-0.5B-Instruct,48,247,precision_reached,True,247,0,0.0848872808238241,-0.6581753317485411,-0.534051,-0.5633401417008748,-0.556044259234655,0.247445,175,-1.2111990036393765,-1.09596,-1.1141757639804364,-1.203982763312786,0.247189,121
Qwen/Qwen2.5-1.5B,28,132,precision_reached,True,132,0,0.18015037593984962,0.8000020550034199,0.820266,0.7531478952742683,0.8131275875059342,0.235628,89,-1.548036599732023,-1.37465,-1.3435189579625288,-1.4451824732078977,0.249754,67
Qwen/Qwen2.5-1.5B-Instruct,21,93,precision_reached,True,93,0,0.232420220276758,1.333330512805253,1.750917,1.6586750016146476,1.7031731753686898,0.210058,64,-1.502620468122803,-1.235883,-1.2109572006115878,-1.3501798325426018,0.249661,45
Qwen/Qwen2.5-3B,29,148,precision_reached,True,148,0,0.27180925666199157,1.5999999492839896,1.949434,1.9202795746366057,2.03525744819047,0.195563,105,-0.813440741239356,-0.851604,-0.8674993969610515,-0.9573227600350147,0.247228,76
Qwen/Qwen2.5-3B-Instruct,6,40,precision_reached,True,40,0,0.3739424703891709,2.1335492025443554,2.183922,2.1085352449366033,2.2683036313979104,0.200451,31,0.26297339361657296,0.329394,0.27675510865332514,0.34849328146023173,0.220622,17
Qwen/Qwen2.5-7B,9,47,precision_reached,True,47,0,0.356341189674523,2.133333333396608,2.003153,2.0002783624877383,2.1812472706726065,0.227562,35,0.32649586352898047,0.323389,0.2582888608830366,0.1998914516312668,0.237168,25
Qwen/Qwen2.5-7B-Instruct,13,71,precision_reached,True,71,0,0.47922515440763613,2.6666666666669614,2.438401,2.4216248960924496,2.4987971065389747,0.196438,61,0.26913600322726344,0.173147,0.32821896617920254,0.32129235834658143,0.212371,27
Qwen/Qwen2.5-Coder-7B,12,43,precision_reached,True,43,0,0.32567908148977875,2.1333330966362034,2.478515,1.9542734992071957,2.262051409530008,0.229677,33,-0.0012135858725835,0.191459,0.22369741351405056,0.23879182869826243,0.238391,17
Qwen/Qwen2.5-Math-7B,18,91,precision_reached,True,91,0,0.3443080357142857,2.399997985047545,2.496726,2.422002224072071,2.5601584317595454,0.161936,71,-1.7477606086199375,-0.927561,-1.2663640638096592,-1.407272496646481,0.242726,34
Qwen/Qwen3-0.6B,18,89,precision_reached,True,89,0,0.19950262503453992,1.0666851157389936,1.844208,1.6962559865627276,1.753559743294227,0.212666,61,-1.8906368779003944,-1.717791,-1.8030014375891104,-1.8210751482155043,0.240375,47
Qwen/Qwen3-1.7B,50,289,max_scenarios_reached,False,289,0,0.4359612724757953,2.6670964015420706,2.959271,2.9235175695753353,2.9954745752470164,0.120915,229,-2.597354718870633,-2.566313,-2.725687445497307,-3.0286049270468856,0.267254,131
Qwen/Qwen3-4B,12,70,precision_reached,True,70,0,0.5638827433628318,3.7333333333574847,3.402837,3.3849280615281314,3.4811163749230647,0.178146,61,-1.7538453673573613,-0.946848,-1.014769713929664,-1.0420420621559225,0.23873,23
TinyLlama/TinyLlama-1.1B-Chat-v1.0,50,228,precision_reached,True,228,0,0.038034425319267075,-2.4642888113321746,-1.735565,-2.0165446743209055,-2.178311234032733,0.248342,170,-1.0021383923676077,-0.84052,-0.8094512066110114,-0.9018388494677336,0.249618,95
allenai/OLMo-2-0425-1B,46,220,precision_reached,True,220,0,0.0980011104941699,-0.7460249019514619,-0.792166,-0.8306177976709349,-0.8506865126012553,0.246717,158,-0.3169938145642374,-0.072412,-0.08103933321049211,-0.06971561921874041,0.2491,92
allenai/OLMo-2-1124-7B,35,173,precision_reached,True,173,0,0.23218776194467727,1.0679491709585387,1.41701,1.4105938242059428,1.493874192995786,0.205209,119,-0.24419939235797827,-0.652125,-0.6654099222734715,-0.7200005385143974,0.249112,88
bigscience/bloom-1b1,50,226,max_scenarios_reached,False,226,0,0.035664915675974566,-4.437655252108893,-2.758827,-3.401641688090554,-4.066962015004033,0.26225,181,0.6987064855773166,0.670098,0.7108080538141387,0.7791567005269978,0.261026,73
bigscience/bloom-1b7,50,255,max_scenarios_reached,False,255,0,0.027101769911504425,-4.960605116581176,-2.793349,-3.7253320014854174,-5.080284539409486,0.250915,197,0.09565416135613361,0.31712,0.28921962783294647,0.33349207067889136,0.248551,94
bigscience/bloom-3b,50,242,max_scenarios_reached,False,242,0,0.031500414479137887,-3.9429269883085247,-2.758903,-3.6352963104439953,-4.973877402979944,0.264279,188,-0.0047780897154424355,0.172059,0.16434032385590724,0.19121737282359827,0.263875,91
bigscience/bloom-560m,50,228,max_scenarios_reached,False,228,0,0.027446631549764348,-5.827752169801535,-2.746196,-3.8151420060499217,-6.3332538337279995,0.254296,185,0.7089058384398854,0.785474,0.7907273869237257,0.8522819596054856,0.253836,76
bigscience/bloom-7b1,48,231,precision_reached,True,231,0,0.041515742546670384,-2.9009102408137895,-2.138188,-2.4373148758846295,-2.646354457355253,0.249344,177,-0.0728983384781087,-0.165523,-0.25723643624952447,-0.25096520079469314,0.247736,88
bigscience/bloomz-1b7,50,246,max_scenarios_reached,False,246,0,0.049945115257958285,-5.76978070902452,-3.028136,-4.119033008947914,-5.898772501648615,0.251276,210,2.1844777616677344,2.348485,2.224896047573841,3.5481585199560017,0.163191,76
bigscience/bloomz-3b,45,225,precision_reached,True,225,0,0.04811657959857025,-5.286124840907665,-2.875392,-3.9817540329477303,-6.599885097949478,0.24993,198,1.815393473636127,2.172852,1.615844440582133,1.8016372436798314,0.18205,66
bigscience/bloomz-7b1,50,246,max_scenarios_reached,False,246,0,0.06081452944413869,-5.405328248478725,-3.044034,-4.128250409081686,-6.822798609502498,0.253505,209,3.044363107245883,2.425235,2.5261839983137784,4.007605372291917,0.1723,82
deepseek-ai/deepseek-coder-6.7b-base,38,183,precision_reached,True,183,0,0.08817025981205086,-0.8114363421730199,-0.963248,-1.150820840127939,-1.2035755183835866,0.247596,128,-0.21482492799145192,-0.131957,-0.16238190943706907,-0.15832942676353776,0.249607,80
deepseek-ai/deepseek-llm-7b-base,44,213,precision_reached,True,213,0,0.052821795941062,-2.2903121688514503,-1.52945,-1.747521780547608,-1.8721553862510347,0.246788,153,0.1231432053617092,-0.040116,-0.048872966236920244,-0.03744729831892883,0.248404,97
deepseek-ai/deepseek-math-7b-base,50,251,max_scenarios_reached,False,251,0,0.03624792473713337,-4.235961032585829,-2.753871,-3.235392557698756,-3.671684017764055,0.254174,209,0.7829444493165594,1.054687,1.047892316808808,1.133984147437311,0.25333,78
facebook/opt-1.3b,30,157,precision_reached,True,157,0,0.0763927192498621,-2.0574105868714305,-2.05941,-2.5625705688074807,-2.8499441380736656,0.248406,134,1.2897133072390043,1.535203,1.4872591144905036,1.6407055190349096,0.241117,54
facebook/opt-2.7b,38,191,precision_reached,True,191,0,0.07620099392600774,-2.050553326049414,-2.098142,-2.330895880819069,-2.5058710468912007,0.247275,154,1.3089919875665452,1.249185,1.2639969509195512,1.3658434304896692,0.248074,66
facebook/opt-6.7b,26,143,precision_reached,True,143,0,0.06681391496410823,-2.342495224523608,-1.634409,-1.8008636221835912,-1.8820985421169358,0.248099,122,1.0389512025929872,1.625279,1.5028641152773259,1.8928931135150406,0.249425,45
google/gemma-2-2b,42,208,precision_reached,True,208,0,0.08592017738359202,-1.0082732298340478,-0.558753,-0.6255348442950273,-0.6226485138421405,0.245583,142,-0.037984740882366974,-0.094555,-0.10252775557108895,-0.0977027367124464,0.24619,101
h2oai/h2o-danube2-1.8b-base,50,239,max_scenarios_reached,False,239,0,0.06533776301218161,-1.3420890617250643,-0.92098,-0.9748241880669206,-1.0006236507873165,0.247161,172,-0.37739294453153627,-0.322578,-0.32729982102303706,-0.3379940952894919,0.252154,106
h2oai/h2o-danube3-4b-base,20,92,precision_reached,True,92,0,0.13841886269070736,0.20966859966060283,0.181991,0.10677935660751625,0.18000197443918484,0.248244,67,-0.8176376397761336,-0.968895,-0.8360244714122708,-1.0150316300013156,0.249988,38
ibm-granite/granite-3.0-2b-base,10,50,precision_reached,True,50,0,0.19410112359550563,0.8000040259698971,1.095312,0.9450730854633228,1.1330891169435613,0.219368,40,0.1461895373332753,0.627869,0.3740596118276847,0.49346360057163047,0.241129,19
ibm-granite/granite-3.1-2b-base,16,79,precision_reached,True,79,0,0.1902493695713085,0.7999945858881456,0.826136,0.7636317755699376,0.8356837876764042,0.235588,64,-0.08273636877318753,0.610481,0.48407015068302794,0.6693355696735741,0.244087,31
ibm-granite/granite-3.1-2b-instruct,32,145,precision_reached,True,145,0,0.26748740906547286,1.3347056779546334,1.311405,1.2843821320114275,1.3664229160137473,0.20909,102,0.016719479416480658,-0.035081,-0.083686496512888,-0.05207239868713267,0.247868,69
lmsys/vicuna-7b-v1.5,38,183,precision_reached,True,183,0,0.1433370660694289,-6.409528986502294e-06,-0.312286,-0.3414790568800217,-0.3273496701835752,0.236861,130,0.3665693602609425,0.368707,0.3584797534428698,0.40040046094640663,0.24911,76
meta-llama/Llama-3.2-1B,50,240,max_scenarios_reached,False,240,0,0.04600280504908836,-2.8426214804267453,-2.200788,-2.427674952776044,-2.6281634924953923,0.25528,185,0.2840959415296861,0.349948,0.32283235998982057,0.36257675758272656,0.251659,88
meta-llama/Llama-3.2-1B-Instruct,44,204,precision_reached,True,204,0,0.09773172780733688,-0.3044642739038534,-0.50242,-0.5855216921927768,-0.5780811364203556,0.246725,138,-1.361391226034001,-0.915125,-0.909972013554958,-1.0049349921324608,0.249175,101
meta-llama/Llama-3.2-3B,10,54,precision_reached,True,54,0,0.11135672837800498,-0.27561783290018527,1.000895,0.8276094047096304,1.0295670474147907,0.229234,44,-0.10852009035254866,0.475663,0.22966049016753376,0.5978672894839956,0.238177,25
meta-llama/Llama-3.2-3B-Instruct,8,42,precision_reached,True,42,0,0.2624612785130949,1.0838963117560316,1.184242,1.0933773506692097,1.2884323847976586,0.242681,35,1.3324823007312314,1.319745,1.4116749888180042,1.1262077648117919,0.246626,16
microsoft/Phi-3-mini-4k-instruct,25,126,precision_reached,True,126,0,0.15995556789780616,0.5112643879225656,1.291169,1.1805202460392816,1.2453790417685124,0.232239,90,0.6607022606480843,0.370616,0.33641436132559155,0.39214247124805973,0.244699,66
microsoft/Phi-3.5-mini-instruct,25,126,precision_reached,True,126,0,0.25681691708402893,1.5730780189339293,1.600513,1.529480263795871,1.584233374958693,0.213836,86,-1.2171935702176462,-1.292638,-1.2500697063265078,-1.3585811705984399,0.24834,68
microsoft/phi-1_5,47,223,precision_reached,True,223,0,0.05102040816326531,-2.3306596263130954,-1.386469,-1.487655014989732,-1.564639928279942,0.246427,161,0.13447667774889266,-0.085467,-0.1254239095561874,-0.11616645802799079,0.249609,93
microsoft/phi-2,23,110,precision_reached,True,110,0,0.1493741307371349,0.2527523108132778,0.700004,0.6607220839697325,0.7326338401408752,0.23481,79,0.4302206536028135,0.267562,0.20941929472946844,0.2722798351406083,0.248198,55
mistralai/Mistral-7B-Instruct-v0.3,17,90,precision_reached,True,90,0,0.23854748603351955,1.0668112306300277,1.13771,1.1221100102112025,1.2106769333483853,0.227513,75,0.717597282939786,0.51942,0.45234193087919883,0.5599716523136478,0.245295,38
mistralai/Mistral-7B-v0.1,33,162,precision_reached,True,162,0,0.18570207917972087,0.7864273433295145,0.655601,0.581539292843688,0.6495761645900757,0.24132,111,0.30282535727728804,0.367188,0.32529511524778837,0.3700290121556992,0.249836,81
mistralai/Mistral-7B-v0.3,21,108,precision_reached,True,108,0,0.19765110283586365,0.8000446279587317,0.506414,0.4600314625111564,0.5406314243861908,0.247663,76,0.4655726296540811,0.629782,0.5835494438218953,0.6971404745259402,0.247984,53
nvidia/Nemotron-Mini-4B-Instruct,41,198,precision_reached,True,198,0,0.13283208020050125,-8.062604921794134e-05,0.055279,0.017574911704227557,0.06895889466694481,0.224525,130,-0.19629786086394507,-0.425702,-0.4377528264365104,-0.4527820162141994,0.247622,103
openai-community/gpt2,50,246,max_scenarios_reached,False,246,0,0.042652724270776,-5.398024916622208,-3.070148,-3.8594638385156266,-5.051648487501793,0.260288,209,1.6663560743302201,2.14468,2.2237907619695036,2.564134669344591,0.259322,76
openai-community/gpt2-large,50,242,max_scenarios_reached,False,242,0,0.0539053905390539,-3.744539762512349,-2.911839,-3.895786261702844,-5.589819771691148,0.251734,197,1.4184527424514666,1.095251,1.183630895567369,1.2663830019039986,0.24946,78
openai-community/gpt2-medium,50,246,max_scenarios_reached,False,246,0,0.038821585903083704,-5.924247313622586,-2.883245,-3.9601544805419566,-6.74701976061186,0.254248,198,1.4161077172324257,1.271102,1.321825697844879,1.4088537117520668,0.253612,81
openai-community/gpt2-xl,47,235,precision_reached,True,235,0,0.05428492697712869,-3.532540434781222,-2.685676,-3.3342094116648817,-3.9075035372713636,0.249692,191,1.3865815513411168,1.397656,1.4078941934699836,1.492838286662506,0.24448,77
openbmb/MiniCPM-2B-sft-bf16,36,182,precision_reached,True,182,0,0.05194805194805195,-2.4912677930267755,-1.558258,-1.758619633505378,-1.874231052701442,0.242141,142,0.5904124702673437,0.577622,0.6023246491249773,0.661141122590506,0.24701,70
stabilityai/stablelm-2-1_6b,29,140,precision_reached,True,140,0,0.060077519379844964,-2.0550287575863315,-1.904967,-2.443507925789127,-2.706931307867613,0.24989,116,0.4151469729445256,1.245654,0.687677818118892,0.8110237232621768,0.247663,47
stabilityai/stablelm-2-zephyr-1_6b,50,236,max_scenarios_reached,False,236,0,0.06698034874065874,-1.2294486135534912,-1.014598,-1.1149800502135954,-1.1549696798569216,0.251477,164,-1.0081442751371654,-0.610488,-0.626320361259758,-0.669989233127171,0.252827,111
stabilityai/stablelm-3b-4e1t,36,178,precision_reached,True,178,0,0.05629506378258458,-2.118216130346594,-1.233806,-1.320822368728894,-1.3815327857245334,0.244973,135,-0.016115734778638306,0.191134,0.11466488532597337,0.15545829083288595,0.24919,71
stabilityai/stablelm-zephyr-3b,38,191,precision_reached,True,191,0,0.0802899358795651,-0.7926830767382889,-0.416977,-0.4502968063188889,-0.4406078941451111,0.24565,137,-1.3171549854701485,-0.919317,-0.8974441720919077,-1.0000369714383033,0.24955,82
tiiuae/Falcon3-1B-Base,16,75,precision_reached,True,75,0,0.13730929264909847,0.2659766949777516,1.003281,0.6357489610462367,0.8556821181099699,0.225781,48,-1.1097320561835,-1.162423,-1.1235497653630715,-1.2962244193758423,0.249506,44
tiiuae/Falcon3-3B-Base,27,140,precision_reached,True,140,0,0.28531311429373774,1.6000588781172054,1.868239,1.8585425640144313,1.9639025801210677,0.196577,98,-1.0888767127534167,-0.82132,-0.8516286866618609,-0.9398150979315139,0.248805,69
tiiuae/Falcon3-7B-Base,10,44,precision_reached,True,44,0,0.375280269058296,2.399999974068973,2.433472,2.399098713042645,2.4911778080958378,0.194595,37,-0.09330280587173008,-0.171325,-0.6188688507396048,-0.17864867486193803,0.213141,17
togethercomputer/RedPajama-INCITE-7B-Base,50,261,max_scenarios_reached,False,261,0,0.03567477876106195,-3.8702515644809203,-2.605833,-3.0822470478881234,-3.4850335874454346,0.253746,209,0.6306433156824678,0.957486,0.9680061067369791,1.0452115948628071,0.253185,86
togethercomputer/RedPajama-INCITE-Base-3B-v1,46,235,precision_reached,True,235,0,0.04674182018146824,-3.772736319507034,-2.441121,-2.8291454585825817,-3.105238861910055,0.245635,193,1.1760353782548227,1.252483,1.2644847976235443,1.3457664341803732,0.248599,72
01-ai/Yi-1.5-6B,24,114,precision_reached,True,114,0,0.20268787712561712,1.0521384193347993,0.775611,0.7035144244112427,0.7679226241004243,0.241721,75,-0.8128671205405272,-1.193649,-1.2437290840485598,-1.3588494464764624,0.248354,60
01-ai/Yi-1.5-6B-Chat,11,59,precision_reached,True,59,0,0.3069116840373011,1.6224521196303447,1.265144,1.2152577927740293,1.2803667040966917,0.171854,53,-0.8348538290543142,0.525598,0.27033258959108414,0.5380999375718886,0.174443,18
01-ai/Yi-6B-200K,43,219,precision_reached,True,219,0,0.08804168952276467,-1.6224345546632073,-1.871756,-2.033455611362405,-2.1527342972662136,0.244867,176,1.1926632223328988,1.014698,1.0169326368467468,1.0938065117501174,0.246758,71
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,50,255,max_scenarios_reached,False,255,0,0.06884256719692813,-4.517662857640513,-3.023574,-3.954650490405918,-5.668594393239139,0.250981,211,3.052581570900868,2.313654,2.57560448339212,3.558429082893258,0.23006,88
BEE-spoke-data/smol_llama-220M-openhermes,43,217,precision_reached,True,217,0,0.05019199122325837,-4.177679754580565,-2.704067,-3.409659752943659,-4.083507981736954,0.249454,179,1.2237322836052411,1.273786,1.2823434629329127,1.3774956474083493,0.247841,70
BSC-LT/salamandra-2b,39,196,precision_reached,True,196,0,0.07679648930334614,-2.6223159141873666,-2.157139,-2.5077976950893865,-2.7380814086469125,0.249194,156,1.4453735204055969,1.091979,1.1669608640687121,1.2404952190183094,0.245296,72
BSC-LT/salamandra-2b-instruct,47,224,precision_reached,True,224,0,0.06637410861217773,-2.172446028818473,-2.139201,-2.4147397005215065,-2.608145610973546,0.249468,172,0.28852104994702443,0.318323,0.2962427779906459,0.33922446989362814,0.249609,83
BSC-LT/salamandra-7b,32,167,precision_reached,True,167,0,0.1086121777290181,-1.0885808412484252,-1.275725,-1.3729978030557903,-1.4407590509542996,0.248162,131,1.0848918498210227,0.802629,0.8173310840968615,0.8903625386493614,0.249551,65
BSC-LT/salamandra-7b-instruct,44,217,precision_reached,True,217,0,0.1151947339550192,-0.5296553482314417,-0.956507,-1.0244403655086367,-1.0529917922388685,0.245849,156,-0.31464832719440566,-0.067669,-0.06921090021289762,-0.06463941257997466,0.249563,91
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,25,126,precision_reached,True,126,0,0.374108612177729,2.1333334954262577,2.1889,2.20495923875888,2.324885045786818,0.192783,88,-0.005814198328095154,-0.861621,-0.847404973585042,-0.9392102851990518,0.249263,62
OpenBMB/MiniCPM4-0.5B,33,158,precision_reached,True,158,0,0.09736697750959956,-0.8165980502716068,-0.863839,-0.9126147911354946,-0.940889934654637,0.247787,125,-0.779531376333615,-1.053699,-1.0131465502798553,-1.1771213525025133,0.24818,58
Qwen/Qwen1.5-1.8B,50,224,max_scenarios_reached,False,224,0,0.03510696653867252,-3.876432013619266,-2.679066,-3.331366598023666,-4.069382959443444,0.271034,173,-0.26852132440734644,-0.327318,-0.33814547137354917,-0.34900942291968484,0.271336,81
Qwen/Qwen1.5-1.8B-Chat,50,238,max_scenarios_reached,False,238,0,0.06637410861217773,-1.8376143878789182,-1.851041,-2.0973757854640938,-2.2765808335101005,0.257785,176,-0.7034609429356069,-0.580967,-0.5841603894569419,-0.6157511941430942,0.255801,98
ai-forever/mGPT,50,249,max_scenarios_reached,False,249,0,0.0575973669775096,-5.213090026971882,-3.267319,-3.9953499296144788,-5.750882874393012,0.276712,209,2.9121401375106646,2.470862,2.4790798507030827,3.571502410510287,0.179895,87
allenai/OLMo-1B-hf,50,250,max_scenarios_reached,False,250,0,0.06034009873834339,-5.26669798720668,-3.09669,-4.007236938714771,-5.467574817518416,0.258048,210,2.9426319746452942,2.2519,2.4323826210797543,3.415657945111493,0.235685,80
allenai/OLMo-2-0425-1B-DPO,36,169,precision_reached,True,169,0,0.149519890260631,0.11365159504672202,0.20179,0.08022165432745096,0.15221942532876093,0.236342,110,-1.2050625582560959,-0.853645,-0.8641026313570731,-0.9502748771607811,0.247677,89
allenai/OLMo-2-0425-1B-Instruct,33,150,precision_reached,True,150,0,0.15633571036752605,0.2663012466379264,0.533694,0.44799374926918645,0.5081862137746604,0.224705,101,-1.1583233508023318,-0.967349,-0.9357466884441809,-1.0500472662741436,0.248789,73
arcee-ai/raspberry-3B,10,51,precision_reached,True,51,0,0.2421832144816237,1.0666706086014397,1.214804,1.1503838185591482,1.2893006347552822,0.198001,46,0.10000889472275093,0.476301,0.2808228920877442,0.6041969634630414,0.218036,16
google/gemma-2b,35,168,precision_reached,True,168,0,0.09053497942386832,-1.5538550242294311,-1.350458,-1.6584088319984445,-1.7798543607746116,0.246703,121,1.1818637689335223,0.821918,0.8737788910488039,0.9365859784073313,0.247879,70
h2oai/h2o-danube-1.8b-chat,49,236,precision_reached,True,236,0,0.07076247942951179,-1.8545723025505716,-1.571887,-1.7619744533062007,-1.8807590702535126,0.246431,175,-0.20954693468856123,-0.435852,-0.43968011597946416,-0.4665243697884883,0.248368,98
h2oai/h2o-danube2-1.8b-chat,45,215,precision_reached,True,215,0,0.08340192043895747,-1.3369594133625025,-1.155245,-1.244702775404181,-1.294934799401592,0.242212,156,-0.05947454238525246,0.0451,0.035884620507547434,0.0554991647620292,0.248228,90
ibm-granite/granite-7b-instruct,29,151,precision_reached,True,151,0,0.11985737794843665,-0.7698076421294883,-0.947938,-1.0461096574012325,-1.0880107445974385,0.248878,113,1.110469473226461,0.724562,0.7559909545001726,0.8185274539235757,0.246848,65
ibm/PowerLM-3b,38,179,precision_reached,True,179,0,0.17882611080636313,0.4756015564518142,0.350346,0.24688930463514622,0.29600086025560707,0.240359,123,-0.27267689739752676,-0.246225,-0.24760324811675108,-0.2485493288179224,0.248068,84
nvidia/AceInstruct-1.5B,19,90,precision_reached,True,90,0,0.2616566099835436,1.3333333221185089,1.840994,1.7810744089838606,1.8719312835482633,0.20138,69,-0.8525747126659471,-0.583824,-0.9853380493322887,-1.0481373325034218,0.249676,39
openbmb/MiniCPM-1B-sft-bf16,50,246,max_scenarios_reached,False,246,0,0.0575973669775096,-4.135947456453361,-2.745236,-3.2202799112988956,-3.6449586292886984,0.257325,202,2.097998183900827,1.815319,1.8632963955065052,1.9992591236592545,0.253465,81
openlm-research/open_llama_3b,32,163,precision_reached,True,163,0,0.08913878222709819,-2.069080699559761,-1.678592,-1.872986421673115,-1.9779934598591868,0.248177,132,1.704074677372669,1.754987,1.7643299660888514,2.030064111506155,0.239409,57
pankajmathur/orca_mini_3b,41,204,precision_reached,True,204,0,0.06995884773662552,-2.0292300865011925,-1.801562,-1.9908134093740821,-2.1296014942766117,0.249014,158,0.6021327732585494,0.586134,0.5744326959853889,0.6289278778082448,0.247531,78
