model,adaptive_items_se0.3,random_items_se0.3,adaptive_items_se0.2,random_items_se0.2,adaptive_items_se0.1,random_items_se0.1
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,40,250,57,343,400,400
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,48,166,216,234,400,400
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam_1ep,48,337,400,400,400,400
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,8,86,12,252,96,400
JayHyeon/Qwen_0.5-MDPO_0.5_1e-5-3ep_0alp_0lam,34,224,51,400,400,400
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-1ep_0alp_0lam,38,168,51,238,400,400
JayHyeon/Qwen_0.5-MDPO_0.5_4e-6-3ep_0alp_0lam,48,176,316,400,400,400
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_0alp_0lam,38,125,51,232,400,400
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.3,13,316,400,400,400,400
Kimargin/GPT-NEO-1.3B-wiki,18,51,62,60,169,193
LEESM/llama-2-7b-hf-lora-oki10p,8,100,10,259,145,400
LLM4Binary/llm4decompile-1.3b-v2,14,43,44,47,138,61
LilRg/10PRYMMAL-3B-slerp,8,16,8,26,8,87
MaziyarPanahi/calme-2.1-phi3.5-4b,8,29,8,35,30,225
Mxode/NanoLM-1B-Instruct-v1.1,8,41,10,117,400,400
NYTK/PULI-LlumiX-32K,8,52,8,89,330,110
Nexesenex/Llama_3.2_3b_Kermes_v2,8,57,8,92,30,267
Nexesenex/Nemotron_W_4b_Halo_0.1,8,53,8,123,82,400
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,8,47,8,98,140,400
NikolaSigmoid/DeepSeek-R1-Distill-Qwen-1.5B-500,8,81,8,106,92,237
NotASI/FineTome-v1.5-Llama3.2-1B-1007,8,43,8,83,200,344
Novaciano/LEWD-Mental-Cultist-3.2-1B,8,78,8,189,101,400
OpenBuddy/openbuddy-zero-3b-v21.2-32k,8,80,12,126,254,311
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,8,19,8,32,34,221
Qwen/Qwen2.5-Math-7B-Instruct,8,27,8,66,92,159
RESMPDEV/Qwen2-Wukong-0.5B,8,52,8,88,16,385
Rakuten/RakutenAI-2.0-mini-instruct,8,42,8,128,161,400
Sakalti/Anemoi-3B,8,19,8,94,10,400
Sakalti/Llama3.2-3B-Uranus-1,8,11,8,76,23,277
Sakalti/Qwen2.5-1B-Instruct,8,121,9,232,75,400
Sakalti/SJT-0.5B,8,144,10,290,34,400
Sakalti/Saba1.5-Pro-3B,8,32,8,77,50,333
Sakalti/Sailor-japanese,8,31,8,129,96,372
Sicarius-Prototyping/Micropenis_1B,8,142,12,256,64,400
SicariusSicariiStuff/2B_or_not_2B,8,44,8,173,9,236
Spestly/Athena-1-3B,8,25,8,71,12,290
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,8,20,9,52,317,400
Triangle104/Minerva-1.5b,8,22,8,59,14,174
V3N0M/Jenna-Tiny-2.0,8,133,9,400,167,400
Wladastic/Mini-Think-Base-1B,8,8,8,8,87,113
Youlln/ECE-PRYMMAL0.5B-Youri,8,18,8,28,22,287
agentlans/Llama-3.2-1B-Instruct-CrashCourse12K,8,65,8,196,161,400
akhadangi/Llama3.2.1B.0.01-First,28,240,42,396,400,400
akhadangi/Llama3.2.1B.BaseFiT,39,64,55,166,400,400
appvoid/arco-2-instruct,8,148,8,282,59,400
bhuvneshsaini/merged_model,8,53,8,107,107,124
brgx53/3Blareneg-ECE-PRYMMAL-Martial,8,56,8,73,22,102
bunnycore/Llama-3.2-3B-Bespoke-Thought,8,40,8,48,81,75
bunnycore/Llama-3.2-3B-ProdigyPlus,8,60,8,76,38,108
cjvt/GaMS-1B,34,82,50,168,400,400
cognitivecomputations/Dolphin3.0-Llama3.2-1B,8,105,8,144,111,343
dwikitheduck/gemma-2-2b-id,8,16,8,74,82,336
euclaise/ReMask-3B,8,81,8,109,277,207
godlikehhd/alpaca_data_ins_ans_max_5200,8,32,8,100,24,400
godlikehhd/alpaca_data_score_max_0.3_2600,8,54,8,55,8,131
godlikehhd/qwen_ins_ans_2500,8,86,8,113,148,287
google/gemma-2-2b,8,33,10,122,75,400
google/recurrentgemma-2b,41,71,55,287,400,400
iFaz/llama32_3B_en_emo_1000_stp,8,8,8,17,31,221
ibm-granite/granite-3.0-3b-a800m-base,8,43,8,81,146,400
jaspionjader/test-15,8,33,8,49,10,218
jpacifico/Lucie-7B-Instruct-DPO-v1.1,8,56,15,105,144,400
kavonalds/Lancer-1-1b-Instruct,8,86,10,232,62,400
lalainy/ECE-PRYMMAL-0.5B-FT-V5-MUSR,8,180,8,321,96,400
macadeliccc/magistrate-3.2-3b-base,8,18,8,75,65,392
meditsolutions/Llama-3.2-SUN-2.5B-chat,8,102,8,162,179,400
mergekit-community/SuperQwen-2.5-1.5B,8,102,8,162,94,169
microsoft/Phi-3.5-mini-instruct,8,26,8,55,30,219
mrdayl/OpenThink,39,64,101,248,400,400
ngxson/MiniThinky-1B-Llama-3.2,8,70,10,189,176,400
noname0202/llama-math-1b-r32-0to512tokens-test,8,66,8,187,99,327
nvidia/Nemotron-Mini-4B-Instruct,8,43,9,137,119,275
ontocord/RedPajama-3B-v1-AutoRedteam,9,30,18,137,277,357
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_math.no_issue,46,88,98,300,400,400
ontocord/wide_3b_sft_stage1.1-ss1-with_math.no_issue,8,41,8,140,141,231
oopere/pruned20-llama-3.2-3b,8,23,8,31,14,78
openbmb/MiniCPM-S-1B-sft-llama-format,8,29,8,168,165,400
pankajmathur/orca_mini_v9_0_3B-Instruct,8,31,8,55,54,369
prithivMLmods/Triangulum-5B,8,21,12,50,78,50
qingy2024/Qwen2.5-Coder-Draft-1.5B-Instruct,8,62,8,76,111,400
saishshinde15/TethysAI_Vortex_Reasoning,8,46,8,64,87,129
sumink/Qwenftmodel,8,26,10,108,400,400
tangledgroup/tangled-llama-pints-1.5b-v0.2-instruct,26,69,54,97,293,284
tinycompany/ShawtyIsBad-e5-large,8,80,8,203,10,400
vhab10/llama-3-8b-merged-linear,8,22,8,25,25,214
yasserrmd/Coder-GRPO-3B,8,37,8,79,99,251
zake7749/gemma-2-2b-it-chinese-kyara-dpo,8,36,8,69,8,69
