model,theta_sd,theta_range_seeds,theta,abs_theta,se_total,pass_rate,pass_extremity,n_admin_criteria,n_admin_scenarios,frac_informative_items,deployed_hit_cap,low_info_unstable,weakly_identified
meta-llama/Llama-3.2-1B-Instruct,0.077245,0.26573,0.809071,0.809071,0.016959,0.332415,0.332415,8345,985,0.5651,False,False,False
ibm-granite/granite-3.1-2b-base,0.074996,0.250113,0.279062,0.279062,0.012286,0.316035,0.316035,8344,985,0.5148,False,False,False
utter-project/EuroLLM-1.7B-Instruct,0.07184,0.210303,-0.19961,0.19961,0.039133,0.183627,0.183627,8343,985,0.4449,False,False,False
stabilityai/stablelm-zephyr-3b,0.071185,0.195762,1.103845,1.103845,0.005423,0.399329,0.399329,8344,985,0.5835,False,False,False
openbmb/MiniCPM-1B-sft-bf16,0.068757,0.194355,-2.888632,2.888632,0.103931,0.023247,0.023247,8345,985,0.079,False,False,False
h2oai/h2o-danube-1.8b-chat,0.063101,0.16164,0.052769,0.052769,0.046428,0.229479,0.229479,8345,985,0.489,False,False,False
google/gemma-2-2b,0.062858,0.148375,-1.589169,1.589169,0.051853,0.088556,0.088556,8345,985,0.1863,False,False,False
BSC-LT/salamandra-2b-instruct,0.061106,0.193648,-0.823498,0.823498,0.04467,0.137687,0.137687,8345,985,0.3161,False,False,False
microsoft/phi-1_5,0.058164,0.182891,-1.697532,1.697532,0.056144,0.066395,0.066395,8344,985,0.174,False,False,False
openlm-research/open_llama_3b,0.053716,0.16265,-2.802884,2.802884,0.099025,0.036691,0.036691,8340,985,0.0832,False,False,False
tiiuae/Falcon3-3B-Base,0.05275,0.152636,0.238291,0.238291,0.043377,0.302852,0.302852,8344,985,0.5152,False,False,False
BSC-LT/salamandra-7b,0.052435,0.177787,-1.224705,1.224705,0.05157,0.116012,0.116012,8344,985,0.238,False,False,False
allenai/OLMo-2-0425-1B-Instruct,0.052326,0.158613,1.320489,1.320489,0.018723,0.438706,0.438706,8345,985,0.5802,False,False,False
ibm/PowerLM-3b,0.049593,0.135423,0.100049,0.100049,0.023623,0.282684,0.282684,8345,985,0.4951,False,False,False
openbmb/MiniCPM-2B-sft-bf16,0.049297,0.133377,-0.267399,0.267399,0.015179,0.166207,0.166207,8345,985,0.4315,False,False,False
stabilityai/stablelm-2-1_6b-chat,0.046973,0.157067,0.851327,0.851327,0.061554,0.350869,0.350869,8345,985,0.5724,False,False,False
utter-project/EuroLLM-1.7B,0.043103,0.132727,-2.402465,2.402465,0.083035,0.04314,0.04314,8345,985,0.1092,False,False,False
ibm-granite/granite-3.0-2b-base,0.037296,0.116179,0.314875,0.314875,0.042028,0.327022,0.327022,8345,985,0.5213,False,False,False
