atlas_idx,item_id,subtask,question_id
1,ifeval|0,ifeval,0
71,ifeval|162,ifeval,162
72,ifeval|163,ifeval,163
73,ifeval|164,ifeval,164
74,ifeval|165,ifeval,165
75,ifeval|166,ifeval,166
76,ifeval|167,ifeval,167
77,ifeval|168,ifeval,168
78,ifeval|169,ifeval,169
79,ifeval|17,ifeval,17
80,ifeval|170,ifeval,170
81,ifeval|171,ifeval,171
82,ifeval|172,ifeval,172
83,ifeval|173,ifeval,173
84,ifeval|174,ifeval,174
85,ifeval|175,ifeval,175
86,ifeval|176,ifeval,176
87,ifeval|177,ifeval,177
88,ifeval|178,ifeval,178
89,ifeval|179,ifeval,179
90,ifeval|18,ifeval,18
91,ifeval|180,ifeval,180
92,ifeval|181,ifeval,181
93,ifeval|182,ifeval,182
94,ifeval|183,ifeval,183
95,ifeval|184,ifeval,184
96,ifeval|185,ifeval,185
97,ifeval|186,ifeval,186
98,ifeval|187,ifeval,187
99,ifeval|188,ifeval,188
100,ifeval|189,ifeval,189
101,ifeval|19,ifeval,19
102,ifeval|190,ifeval,190
103,ifeval|191,ifeval,191
104,ifeval|192,ifeval,192
105,ifeval|193,ifeval,193
106,ifeval|194,ifeval,194
107,ifeval|195,ifeval,195
108,ifeval|196,ifeval,196
109,ifeval|197,ifeval,197
110,ifeval|198,ifeval,198
111,ifeval|199,ifeval,199
112,ifeval|2,ifeval,2
113,ifeval|20,ifeval,20
114,ifeval|200,ifeval,200
115,ifeval|201,ifeval,201
116,ifeval|202,ifeval,202
117,ifeval|203,ifeval,203
118,ifeval|204,ifeval,204
119,ifeval|205,ifeval,205
120,ifeval|206,ifeval,206
121,ifeval|207,ifeval,207
122,ifeval|208,ifeval,208
123,ifeval|209,ifeval,209
124,ifeval|21,ifeval,21
125,ifeval|210,ifeval,210
126,ifeval|211,ifeval,211
127,ifeval|212,ifeval,212
128,ifeval|213,ifeval,213
129,ifeval|214,ifeval,214
130,ifeval|215,ifeval,215
131,ifeval|216,ifeval,216
132,ifeval|217,ifeval,217
133,ifeval|218,ifeval,218
134,ifeval|219,ifeval,219
135,ifeval|22,ifeval,22
136,ifeval|220,ifeval,220
137,ifeval|221,ifeval,221
138,ifeval|222,ifeval,222
139,ifeval|223,ifeval,223
140,ifeval|224,ifeval,224
141,ifeval|225,ifeval,225
142,ifeval|226,ifeval,226
143,ifeval|227,ifeval,227
144,ifeval|228,ifeval,228
145,ifeval|229,ifeval,229
146,ifeval|23,ifeval,23
147,ifeval|230,ifeval,230
148,ifeval|231,ifeval,231
149,ifeval|232,ifeval,232
150,ifeval|233,ifeval,233
151,ifeval|234,ifeval,234
152,ifeval|235,ifeval,235
153,ifeval|236,ifeval,236
154,ifeval|237,ifeval,237
155,ifeval|238,ifeval,238
156,ifeval|239,ifeval,239
157,ifeval|24,ifeval,24
158,ifeval|240,ifeval,240
159,ifeval|241,ifeval,241
160,ifeval|242,ifeval,242
161,ifeval|243,ifeval,243
162,ifeval|244,ifeval,244
163,ifeval|245,ifeval,245
164,ifeval|246,ifeval,246
165,ifeval|247,ifeval,247
166,ifeval|248,ifeval,248
167,ifeval|249,ifeval,249
168,ifeval|25,ifeval,25
169,ifeval|250,ifeval,250
170,ifeval|251,ifeval,251
171,ifeval|252,ifeval,252
172,ifeval|253,ifeval,253
173,ifeval|254,ifeval,254
174,ifeval|255,ifeval,255
175,ifeval|256,ifeval,256
176,ifeval|257,ifeval,257
177,ifeval|258,ifeval,258
178,ifeval|259,ifeval,259
179,ifeval|26,ifeval,26
180,ifeval|260,ifeval,260
181,ifeval|261,ifeval,261
182,ifeval|262,ifeval,262
183,ifeval|263,ifeval,263
184,ifeval|264,ifeval,264
185,ifeval|265,ifeval,265
186,ifeval|266,ifeval,266
187,ifeval|267,ifeval,267
188,ifeval|268,ifeval,268
189,ifeval|269,ifeval,269
190,ifeval|27,ifeval,27
191,ifeval|270,ifeval,270
192,ifeval|271,ifeval,271
193,ifeval|272,ifeval,272
194,ifeval|273,ifeval,273
195,ifeval|274,ifeval,274
196,ifeval|275,ifeval,275
197,ifeval|276,ifeval,276
198,ifeval|277,ifeval,277
199,ifeval|278,ifeval,278
200,ifeval|279,ifeval,279
201,ifeval|28,ifeval,28
202,ifeval|280,ifeval,280
203,ifeval|281,ifeval,281
204,ifeval|282,ifeval,282
205,ifeval|283,ifeval,283
206,ifeval|284,ifeval,284
207,ifeval|285,ifeval,285
208,ifeval|286,ifeval,286
209,ifeval|287,ifeval,287
210,ifeval|288,ifeval,288
211,ifeval|289,ifeval,289
212,ifeval|29,ifeval,29
213,ifeval|290,ifeval,290
214,ifeval|291,ifeval,291
215,ifeval|292,ifeval,292
216,ifeval|293,ifeval,293
217,ifeval|294,ifeval,294
218,ifeval|295,ifeval,295
219,ifeval|296,ifeval,296
220,ifeval|297,ifeval,297
221,ifeval|298,ifeval,298
222,ifeval|299,ifeval,299
223,ifeval|3,ifeval,3
224,ifeval|30,ifeval,30
225,ifeval|300,ifeval,300
226,ifeval|301,ifeval,301
227,ifeval|302,ifeval,302
228,ifeval|303,ifeval,303
229,ifeval|304,ifeval,304
230,ifeval|305,ifeval,305
231,ifeval|306,ifeval,306
232,ifeval|307,ifeval,307
233,ifeval|308,ifeval,308
234,ifeval|309,ifeval,309
235,ifeval|31,ifeval,31
236,ifeval|310,ifeval,310
237,ifeval|311,ifeval,311
238,ifeval|312,ifeval,312
239,ifeval|313,ifeval,313
240,ifeval|314,ifeval,314
241,ifeval|315,ifeval,315
242,ifeval|316,ifeval,316
243,ifeval|317,ifeval,317
244,ifeval|318,ifeval,318
245,ifeval|319,ifeval,319
246,ifeval|32,ifeval,32
247,ifeval|320,ifeval,320
248,ifeval|321,ifeval,321
249,ifeval|322,ifeval,322
250,ifeval|323,ifeval,323
251,ifeval|324,ifeval,324
252,ifeval|325,ifeval,325
253,ifeval|326,ifeval,326
254,ifeval|327,ifeval,327
255,ifeval|328,ifeval,328
256,ifeval|329,ifeval,329
257,ifeval|33,ifeval,33
258,ifeval|330,ifeval,330
259,ifeval|331,ifeval,331
260,ifeval|332,ifeval,332
261,ifeval|333,ifeval,333
262,ifeval|334,ifeval,334
263,ifeval|335,ifeval,335
264,ifeval|336,ifeval,336
265,ifeval|337,ifeval,337
266,ifeval|338,ifeval,338
267,ifeval|339,ifeval,339
268,ifeval|34,ifeval,34
269,ifeval|340,ifeval,340
270,ifeval|341,ifeval,341
271,ifeval|342,ifeval,342
272,ifeval|343,ifeval,343
273,ifeval|344,ifeval,344
274,ifeval|345,ifeval,345
275,ifeval|346,ifeval,346
276,ifeval|347,ifeval,347
277,ifeval|348,ifeval,348
278,ifeval|349,ifeval,349
279,ifeval|35,ifeval,35
280,ifeval|350,ifeval,350
281,ifeval|351,ifeval,351
282,ifeval|352,ifeval,352
283,ifeval|353,ifeval,353
284,ifeval|354,ifeval,354
285,ifeval|355,ifeval,355
286,ifeval|356,ifeval,356
287,ifeval|357,ifeval,357
288,ifeval|358,ifeval,358
289,ifeval|359,ifeval,359
290,ifeval|36,ifeval,36
291,ifeval|360,ifeval,360
292,ifeval|361,ifeval,361
293,ifeval|362,ifeval,362
294,ifeval|363,ifeval,363
295,ifeval|364,ifeval,364
296,ifeval|365,ifeval,365
297,ifeval|366,ifeval,366
298,ifeval|367,ifeval,367
299,ifeval|368,ifeval,368
300,ifeval|369,ifeval,369
301,ifeval|37,ifeval,37
302,ifeval|370,ifeval,370
303,ifeval|371,ifeval,371
304,ifeval|372,ifeval,372
305,ifeval|373,ifeval,373
306,ifeval|374,ifeval,374
307,ifeval|375,ifeval,375
308,ifeval|376,ifeval,376
309,ifeval|377,ifeval,377
310,ifeval|378,ifeval,378
311,ifeval|379,ifeval,379
312,ifeval|38,ifeval,38
313,ifeval|380,ifeval,380
314,ifeval|381,ifeval,381
315,ifeval|382,ifeval,382
316,ifeval|383,ifeval,383
317,ifeval|384,ifeval,384
318,ifeval|385,ifeval,385
319,ifeval|386,ifeval,386
320,ifeval|387,ifeval,387
321,ifeval|388,ifeval,388
322,ifeval|389,ifeval,389
323,ifeval|39,ifeval,39
324,ifeval|390,ifeval,390
325,ifeval|391,ifeval,391
326,ifeval|392,ifeval,392
327,ifeval|393,ifeval,393
328,ifeval|394,ifeval,394
329,ifeval|395,ifeval,395
330,ifeval|396,ifeval,396
331,ifeval|397,ifeval,397
332,ifeval|398,ifeval,398
333,ifeval|399,ifeval,399
334,ifeval|4,ifeval,4
335,ifeval|40,ifeval,40
336,ifeval|400,ifeval,400
337,ifeval|401,ifeval,401
338,ifeval|402,ifeval,402
339,ifeval|403,ifeval,403
340,ifeval|404,ifeval,404
341,ifeval|405,ifeval,405
342,ifeval|406,ifeval,406
343,ifeval|407,ifeval,407
344,ifeval|408,ifeval,408
345,ifeval|409,ifeval,409
346,ifeval|41,ifeval,41
347,ifeval|410,ifeval,410
348,ifeval|411,ifeval,411
349,ifeval|412,ifeval,412
350,ifeval|413,ifeval,413
351,ifeval|414,ifeval,414
352,ifeval|415,ifeval,415
353,ifeval|416,ifeval,416
354,ifeval|417,ifeval,417
355,ifeval|418,ifeval,418
356,ifeval|419,ifeval,419
357,ifeval|42,ifeval,42
358,ifeval|420,ifeval,420
359,ifeval|421,ifeval,421
360,ifeval|422,ifeval,422
361,ifeval|423,ifeval,423
362,ifeval|424,ifeval,424
363,ifeval|425,ifeval,425
364,ifeval|426,ifeval,426
365,ifeval|427,ifeval,427
366,ifeval|428,ifeval,428
367,ifeval|429,ifeval,429
368,ifeval|43,ifeval,43
369,ifeval|430,ifeval,430
370,ifeval|431,ifeval,431
371,ifeval|432,ifeval,432
372,ifeval|433,ifeval,433
373,ifeval|434,ifeval,434
374,ifeval|435,ifeval,435
375,ifeval|436,ifeval,436
376,ifeval|437,ifeval,437
377,ifeval|438,ifeval,438
378,ifeval|439,ifeval,439
379,ifeval|44,ifeval,44
380,ifeval|441,ifeval,441
381,ifeval|442,ifeval,442
382,ifeval|443,ifeval,443
383,ifeval|444,ifeval,444
384,ifeval|445,ifeval,445
385,ifeval|446,ifeval,446
386,ifeval|447,ifeval,447
387,ifeval|448,ifeval,448
388,ifeval|449,ifeval,449
389,ifeval|45,ifeval,45
390,ifeval|450,ifeval,450
391,ifeval|451,ifeval,451
392,ifeval|452,ifeval,452
393,ifeval|454,ifeval,454
394,ifeval|456,ifeval,456
395,ifeval|457,ifeval,457
396,ifeval|458,ifeval,458
397,ifeval|459,ifeval,459
398,ifeval|46,ifeval,46
399,ifeval|460,ifeval,460
400,ifeval|461,ifeval,461
401,ifeval|462,ifeval,462
402,ifeval|463,ifeval,463
403,ifeval|464,ifeval,464
404,ifeval|465,ifeval,465
405,ifeval|466,ifeval,466
406,ifeval|467,ifeval,467
407,ifeval|468,ifeval,468
408,ifeval|469,ifeval,469
409,ifeval|47,ifeval,47
410,ifeval|470,ifeval,470
411,ifeval|471,ifeval,471
412,ifeval|472,ifeval,472
413,ifeval|473,ifeval,473
414,ifeval|474,ifeval,474
415,ifeval|475,ifeval,475
416,ifeval|476,ifeval,476
417,ifeval|477,ifeval,477
418,ifeval|478,ifeval,478
419,ifeval|479,ifeval,479
420,ifeval|48,ifeval,48
421,ifeval|480,ifeval,480
422,ifeval|481,ifeval,481
423,ifeval|482,ifeval,482
424,ifeval|483,ifeval,483
425,ifeval|484,ifeval,484
426,ifeval|485,ifeval,485
427,ifeval|486,ifeval,486
428,ifeval|487,ifeval,487
429,ifeval|488,ifeval,488
430,ifeval|489,ifeval,489
431,ifeval|49,ifeval,49
432,ifeval|490,ifeval,490
433,ifeval|491,ifeval,491
434,ifeval|492,ifeval,492
435,ifeval|493,ifeval,493
436,ifeval|494,ifeval,494
437,ifeval|495,ifeval,495
438,ifeval|496,ifeval,496
439,ifeval|497,ifeval,497
440,ifeval|498,ifeval,498
441,ifeval|499,ifeval,499
442,ifeval|5,ifeval,5
443,ifeval|50,ifeval,50
444,ifeval|500,ifeval,500
445,ifeval|501,ifeval,501
446,ifeval|502,ifeval,502
447,ifeval|503,ifeval,503
448,ifeval|504,ifeval,504
449,ifeval|505,ifeval,505
450,ifeval|506,ifeval,506
451,ifeval|507,ifeval,507
452,ifeval|508,ifeval,508
453,ifeval|509,ifeval,509
454,ifeval|51,ifeval,51
455,ifeval|510,ifeval,510
456,ifeval|511,ifeval,511
457,ifeval|512,ifeval,512
458,ifeval|513,ifeval,513
459,ifeval|514,ifeval,514
460,ifeval|515,ifeval,515
461,ifeval|516,ifeval,516
462,ifeval|517,ifeval,517
463,ifeval|518,ifeval,518
464,ifeval|519,ifeval,519
465,ifeval|52,ifeval,52
466,ifeval|520,ifeval,520
467,ifeval|521,ifeval,521
468,ifeval|522,ifeval,522
469,ifeval|524,ifeval,524
470,ifeval|525,ifeval,525
471,ifeval|526,ifeval,526
472,ifeval|527,ifeval,527
473,ifeval|529,ifeval,529
474,ifeval|53,ifeval,53
475,ifeval|530,ifeval,530
476,ifeval|531,ifeval,531
477,ifeval|532,ifeval,532
478,ifeval|533,ifeval,533
479,ifeval|534,ifeval,534
480,ifeval|535,ifeval,535
481,ifeval|536,ifeval,536
482,ifeval|537,ifeval,537
483,ifeval|538,ifeval,538
484,ifeval|539,ifeval,539
485,ifeval|54,ifeval,54
486,ifeval|540,ifeval,540
487,ifeval|55,ifeval,55
488,ifeval|56,ifeval,56
489,ifeval|57,ifeval,57
490,ifeval|58,ifeval,58
491,ifeval|59,ifeval,59
492,ifeval|6,ifeval,6
493,ifeval|60,ifeval,60
494,ifeval|61,ifeval,61
495,ifeval|62,ifeval,62
496,ifeval|63,ifeval,63
497,ifeval|64,ifeval,64
498,ifeval|65,ifeval,65
499,ifeval|66,ifeval,66
500,ifeval|67,ifeval,67
501,ifeval|68,ifeval,68
502,ifeval|69,ifeval,69
503,ifeval|7,ifeval,7
504,ifeval|70,ifeval,70
505,ifeval|71,ifeval,71
506,ifeval|72,ifeval,72
507,ifeval|73,ifeval,73
508,ifeval|74,ifeval,74
509,ifeval|75,ifeval,75
510,ifeval|76,ifeval,76
511,ifeval|77,ifeval,77
512,ifeval|78,ifeval,78
513,ifeval|79,ifeval,79
514,ifeval|8,ifeval,8
515,ifeval|80,ifeval,80
516,ifeval|81,ifeval,81
517,ifeval|82,ifeval,82
518,ifeval|83,ifeval,83
519,ifeval|84,ifeval,84
520,ifeval|85,ifeval,85
521,ifeval|86,ifeval,86
522,ifeval|87,ifeval,87
523,ifeval|88,ifeval,88
524,ifeval|89,ifeval,89
525,ifeval|9,ifeval,9
526,ifeval|90,ifeval,90
527,ifeval|91,ifeval,91
528,ifeval|92,ifeval,92
529,ifeval|93,ifeval,93
530,ifeval|94,ifeval,94
531,ifeval|95,ifeval,95
532,ifeval|96,ifeval,96
533,ifeval|97,ifeval,97
534,ifeval|98,ifeval,98
535,ifeval|99,ifeval,99
