model,online_scenarios,online_criteria,online_SE_ability,online_reached,online_SE_param,online_SE_total,eap_scenarios,eap_criteria,eap_SE_ability,eap_reached,eap_hit_cap,eap_SE_param,eap_SE_total
h2oai/h2o-danube2-1.8b-chat,12,217,0.1189,True,0.0503,0.1291,12,217,0.1189,True,False,0.054,0.1306
ibm-granite/granite-3.0-2b-base,12,219,0.0864,True,0.0273,0.0906,12,219,0.0864,True,False,0.0294,0.0913
ibm-granite/granite-3.1-2b-base,12,213,0.0848,True,0.0453,0.0962,12,213,0.0848,True,False,0.0463,0.0967
ibm-granite/granite-3.1-2b-instruct,12,213,0.0887,True,0.0508,0.1022,12,213,0.0887,True,False,0.0501,0.1019
ibm-granite/granite-7b-instruct,12,214,0.0878,True,0.03,0.0928,12,214,0.0878,True,False,0.0279,0.0921
ibm/PowerLM-3b,12,219,0.0838,True,0.0502,0.0977,12,219,0.0838,True,False,0.0521,0.0986
meta-llama/Llama-3.2-1B,12,212,0.1553,False,0.0609,0.1668,14,247,0.146,True,False,0.0708,0.1622
meta-llama/Llama-3.2-1B-Instruct,12,210,0.0855,True,0.0575,0.103,12,210,0.0855,True,False,0.0592,0.104
meta-llama/Llama-3.2-3B-Instruct,12,196,0.0924,True,0.0899,0.1289,12,196,0.0924,True,False,0.0846,0.1253
nvidia/AceInstruct-1.5B,12,208,0.0994,True,0.0848,0.1306,12,208,0.0994,True,False,0.0903,0.1343
openbmb/MiniCPM-1B-sft-bf16,12,212,0.1593,False,0.0709,0.1743,14,244,0.1458,True,False,0.0754,0.1642
openbmb/MiniCPM-2B-sft-bf16,12,218,0.084,True,0.0505,0.0981,12,218,0.084,True,False,0.0501,0.0979
openlm-research/open_llama_3b,12,211,0.1753,False,0.082,0.1936,17,299,0.1463,True,False,0.0732,0.1636
pankajmathur/orca_mini_3b,12,217,0.101,True,0.0562,0.1156,12,217,0.101,True,False,0.0536,0.1143
pankajmathur/orca_mini_v9_5_3B-Instruct,12,210,0.0876,True,0.055,0.1034,12,210,0.0876,True,False,0.0634,0.1081
stabilityai/stablelm-2-1_6b-chat,12,217,0.1114,True,0.0392,0.1181,12,217,0.1114,True,False,0.0421,0.1191
stabilityai/stablelm-2-zephyr-1_6b,12,212,0.1003,True,0.034,0.1059,12,212,0.1003,True,False,0.0358,0.1065
stabilityai/stablelm-zephyr-3b,12,218,0.1031,True,0.0605,0.1195,12,218,0.1031,True,False,0.054,0.1164
tiiuae/Falcon3-1B-Instruct,12,218,0.0823,True,0.0272,0.0867,12,218,0.0823,True,False,0.0276,0.0868
tiiuae/Falcon3-3B-Base,12,212,0.0856,True,0.0514,0.0999,12,212,0.0856,True,False,0.0483,0.0983
tiiuae/Falcon3-3B-Instruct,12,194,0.0864,True,0.0778,0.1162,12,194,0.0864,True,False,0.0866,0.1223
utter-project/EuroLLM-1.7B,13,232,0.1568,False,0.0871,0.1794,15,267,0.1458,True,False,0.0723,0.1627
utter-project/EuroLLM-1.7B-Instruct,12,214,0.1275,True,0.0553,0.139,12,214,0.1275,True,False,0.0485,0.1365
