benchmark,n_train,rep,model,predicted,actual
arc_challenge,10,4,Qwen/Qwen3-4B,0.603486,0.514505
arc_challenge,10,4,bigscience/bloom-560m,0.222032,0.231229
openbookqa,10,4,01-ai/Yi-6B-Chat,0.541570,0.464000
openbookqa,10,4,google/gemma-2b,0.447549,0.372000
openbookqa,10,4,meta-llama/Llama-3.2-1B-Instruct,0.644114,0.386000
openbookqa,10,4,Qwen/Qwen3-1.7B,0.588473,0.412000
openbookqa,10,4,01-ai/Yi-6B,0.447549,0.432000
openbookqa,10,4,deepseek-ai/deepseek-math-7b-base,0.376472,0.328000
openbookqa,10,4,deepseek-ai/deepseek-llm-7b-base,0.644114,0.330000
openbookqa,10,4,EleutherAI/gpt-j-6b,0.588473,0.354000
openbookqa,10,4,Qwen/Qwen3-4B,0.478428,0.456000
openbookqa,10,4,bigscience/bloom-560m,0.588473,0.284000
sciq,10,4,01-ai/Yi-6B-Chat,0.593286,0.621000
sciq,10,4,google/gemma-2b,0.819693,0.822000
sciq,10,4,meta-llama/Llama-3.2-1B-Instruct,0.472924,0.572000
sciq,10,4,Qwen/Qwen3-1.7B,0.586983,0.804000
sciq,10,4,01-ai/Yi-6B,0.812702,0.851000
sciq,10,4,deepseek-ai/deepseek-math-7b-base,0.593286,0.722000
sciq,10,4,deepseek-ai/deepseek-llm-7b-base,0.586983,0.628000
sciq,10,4,EleutherAI/gpt-j-6b,0.751677,0.680000
sciq,10,4,Qwen/Qwen3-4B,0.751677,0.866000
sciq,10,4,bigscience/bloom-560m,0.586983,0.507000
arc_challenge,15,0,HuggingFaceTB/SmolLM2-360M,0.425171,0.379693
arc_challenge,15,0,Qwen/Qwen2-7B,0.582610,0.499147
arc_challenge,15,0,mistralai/Mistral-7B-Instruct-v0.1,0.639313,0.472696
arc_challenge,15,0,01-ai/Yi-6B,0.582610,0.482935
arc_challenge,15,0,Qwen/Qwen2.5-3B-Instruct,0.475270,0.415529
arc_challenge,15,0,bigscience/bloom-3b,0.406616,0.286689
arc_challenge,15,0,Qwen/Qwen2.5-1.5B,0.639313,0.435154
arc_challenge,15,0,microsoft/Phi-3.5-mini-instruct,0.709478,0.479522
arc_challenge,15,0,google/gemma-2-2b-it,0.406616,0.430034
arc_challenge,15,0,HuggingFaceTB/SmolLM2-1.7B,0.582610,0.463311
openbookqa,15,0,HuggingFaceTB/SmolLM2-360M,0.378981,0.356000
openbookqa,15,0,Qwen/Qwen2-7B,0.536215,0.464000
openbookqa,15,0,mistralai/Mistral-7B-Instruct-v0.1,0.372638,0.432000
openbookqa,15,0,01-ai/Yi-6B,0.427085,0.432000
openbookqa,15,0,Qwen/Qwen2.5-3B-Instruct,0.323554,0.446000
openbookqa,15,0,bigscience/bloom-3b,0.221492,0.304000
openbookqa,15,0,Qwen/Qwen2.5-1.5B,0.427085,0.428000
openbookqa,15,0,microsoft/Phi-3.5-mini-instruct,0.664250,0.458000
openbookqa,15,0,google/gemma-2-2b-it,0.417832,0.438000
openbookqa,15,0,HuggingFaceTB/SmolLM2-1.7B,0.378981,0.406000
sciq,15,0,HuggingFaceTB/SmolLM2-360M,0.699190,0.785000
sciq,15,0,Qwen/Qwen2-7B,0.686048,0.755000
sciq,15,0,mistralai/Mistral-7B-Instruct-v0.1,0.699190,0.764000
sciq,15,0,01-ai/Yi-6B,0.799277,0.851000
sciq,15,0,Qwen/Qwen2.5-3B-Instruct,0.452667,0.630000
sciq,15,0,bigscience/bloom-3b,0.452667,0.613000
sciq,15,0,Qwen/Qwen2.5-1.5B,0.699190,0.742000
sciq,15,0,microsoft/Phi-3.5-mini-instruct,0.541074,0.571000
sciq,15,0,google/gemma-2-2b-it,0.637366,0.687000
sciq,15,0,HuggingFaceTB/SmolLM2-1.7B,0.757913,0.832000
arc_challenge,15,1,nvidia/Nemotron-Mini-4B-Instruct,0.589117,0.440273
arc_challenge,15,1,bigscience/bloom-560m,0.270887,0.231229
arc_challenge,15,1,Qwen/Qwen2.5-1.5B-Instruct,0.481848,0.398464
arc_challenge,15,1,Qwen/Qwen2.5-3B,0.646711,0.453925
arc_challenge,15,1,allenai/OLMo-2-1124-7B-Instruct,0.481848,0.512799
arc_challenge,15,1,microsoft/Phi-3-mini-4k-instruct,0.523277,0.525597
arc_challenge,15,1,allenai/OLMo-2-1124-7B,0.652518,0.558020
arc_challenge,15,1,Qwen/Qwen2-7B,0.646711,0.499147
arc_challenge,15,1,stabilityai/stablelm-3b-4e1t,0.543367,0.393345
arc_challenge,15,1,bigscience/bloom-1b1,0.270887,0.261092
openbookqa,15,1,nvidia/Nemotron-Mini-4B-Instruct,0.606482,0.432000
openbookqa,15,1,bigscience/bloom-560m,0.285614,0.284000
openbookqa,15,1,Qwen/Qwen2.5-1.5B-Instruct,0.554976,0.436000
openbookqa,15,1,Qwen/Qwen2.5-3B,0.451138,0.460000
openbookqa,15,1,allenai/OLMo-2-1124-7B-Instruct,0.413597,0.512000
openbookqa,15,1,microsoft/Phi-3-mini-4k-instruct,0.541727,0.492000
openbookqa,15,1,allenai/OLMo-2-1124-7B,0.413597,0.474000
openbookqa,15,1,Qwen/Qwen2-7B,0.504069,0.464000
openbookqa,15,1,stabilityai/stablelm-3b-4e1t,0.413597,0.400000
openbookqa,15,1,bigscience/bloom-1b1,0.285614,0.286000
sciq,15,1,nvidia/Nemotron-Mini-4B-Instruct,0.676065,0.677000
sciq,15,1,bigscience/bloom-560m,0.742534,0.507000
sciq,15,1,Qwen/Qwen2.5-1.5B-Instruct,0.726707,0.682000
sciq,15,1,Qwen/Qwen2.5-3B,0.742534,0.757000
sciq,15,1,allenai/OLMo-2-1124-7B-Instruct,0.742534,0.820000
sciq,15,1,microsoft/Phi-3-mini-4k-instruct,0.726707,0.752000
sciq,15,1,allenai/OLMo-2-1124-7B,0.816001,0.902000
sciq,15,1,Qwen/Qwen2-7B,0.742534,0.755000
sciq,15,1,stabilityai/stablelm-3b-4e1t,0.726707,0.764000
sciq,15,1,bigscience/bloom-1b1,0.676065,0.543000
arc_challenge,15,2,deepseek-ai/deepseek-math-7b-base,0.528921,0.373720
arc_challenge,15,2,01-ai/Yi-6B-Chat,0.432731,0.407850
arc_challenge,15,2,deepseek-ai/deepseek-coder-6.7b-base,0.228904,0.303754
arc_challenge,15,2,ibm-granite/granite-3.1-2b-base,0.432731,0.468430
arc_challenge,15,2,openai-community/gpt2-xl,0.347268,0.279863
arc_challenge,15,2,allenai/OLMo-2-1124-7B,0.607634,0.558020
arc_challenge,15,2,google/gemma-2-2b-it,0.492140,0.430034
arc_challenge,15,2,01-ai/Yi-6B,0.607634,0.482935
arc_challenge,15,2,HuggingFaceTB/SmolLM2-135M,0.347268,0.302901
arc_challenge,15,2,Qwen/Qwen2.5-0.5B-Instruct,0.432731,0.324232
openbookqa,15,2,deepseek-ai/deepseek-math-7b-base,0.278165,0.328000
openbookqa,15,2,01-ai/Yi-6B-Chat,0.408034,0.464000
openbookqa,15,2,deepseek-ai/deepseek-coder-6.7b-base,0.278165,0.332000
openbookqa,15,2,ibm-granite/granite-3.1-2b-base,0.499782,0.412000
openbookqa,15,2,openai-community/gpt2-xl,0.330733,0.292000
openbookqa,15,2,allenai/OLMo-2-1124-7B,0.499782,0.474000
openbookqa,15,2,google/gemma-2-2b-it,0.673477,0.438000
openbookqa,15,2,01-ai/Yi-6B,0.464777,0.432000
openbookqa,15,2,HuggingFaceTB/SmolLM2-135M,0.440282,0.322000
openbookqa,15,2,Qwen/Qwen2.5-0.5B-Instruct,0.392446,0.376000
sciq,15,2,deepseek-ai/deepseek-math-7b-base,0.665409,0.722000
sciq,15,2,01-ai/Yi-6B-Chat,0.464561,0.621000
sciq,15,2,deepseek-ai/deepseek-coder-6.7b-base,0.540777,0.626000
sciq,15,2,ibm-granite/granite-3.1-2b-base,0.850347,0.839000
sciq,15,2,openai-community/gpt2-xl,0.540777,0.551000
sciq,15,2,allenai/OLMo-2-1124-7B,0.820334,0.902000
sciq,15,2,google/gemma-2-2b-it,0.464561,0.687000
sciq,15,2,01-ai/Yi-6B,0.775219,0.851000
sciq,15,2,HuggingFaceTB/SmolLM2-135M,0.734241,0.690000
sciq,15,2,Qwen/Qwen2.5-0.5B-Instruct,0.464561,0.537000
arc_challenge,15,3,HuggingFaceTB/SmolLM2-1.7B,0.612972,0.463311
arc_challenge,15,3,01-ai/Yi-6B-Chat,0.363317,0.407850
arc_challenge,15,3,h2oai/h2o-danube2-1.8b-base,0.450928,0.382253
arc_challenge,15,3,Qwen/Qwen2-1.5B,0.450928,0.371160
arc_challenge,15,3,EleutherAI/gpt-j-6b,0.450928,0.355802
arc_challenge,15,3,bigscience/bloom-3b,0.271918,0.286689
arc_challenge,15,3,Qwen/Qwen2-0.5B,0.450928,0.290956
arc_challenge,15,3,openai-community/gpt2-xl,0.294456,0.279863
arc_challenge,15,3,ibm-granite/granite-3.1-2b-instruct,0.573437,0.436860
arc_challenge,15,3,allenai/OLMo-2-1124-7B-Instruct,0.524688,0.512799
openbookqa,15,3,HuggingFaceTB/SmolLM2-1.7B,0.435805,0.406000
openbookqa,15,3,01-ai/Yi-6B-Chat,0.463943,0.464000
openbookqa,15,3,h2oai/h2o-danube2-1.8b-base,0.568304,0.400000
openbookqa,15,3,Qwen/Qwen2-1.5B,0.463943,0.386000
openbookqa,15,3,EleutherAI/gpt-j-6b,0.459578,0.354000
openbookqa,15,3,bigscience/bloom-3b,0.459578,0.304000
openbookqa,15,3,Qwen/Qwen2-0.5B,0.459578,0.328000
openbookqa,15,3,openai-community/gpt2-xl,0.459578,0.292000
openbookqa,15,3,ibm-granite/granite-3.1-2b-instruct,0.500042,0.418000
openbookqa,15,3,allenai/OLMo-2-1124-7B-Instruct,0.463943,0.512000
sciq,15,3,HuggingFaceTB/SmolLM2-1.7B,0.736739,0.832000
sciq,15,3,01-ai/Yi-6B-Chat,0.375787,0.621000
sciq,15,3,h2oai/h2o-danube2-1.8b-base,0.777905,0.707000
sciq,15,3,Qwen/Qwen2-1.5B,0.637186,0.639000
sciq,15,3,EleutherAI/gpt-j-6b,0.422361,0.680000
sciq,15,3,bigscience/bloom-3b,0.545880,0.613000
sciq,15,3,Qwen/Qwen2-0.5B,0.375787,0.558000
sciq,15,3,openai-community/gpt2-xl,0.422361,0.551000
sciq,15,3,ibm-granite/granite-3.1-2b-instruct,0.795656,0.701000
sciq,15,3,allenai/OLMo-2-1124-7B-Instruct,0.637186,0.820000
arc_challenge,15,4,bigscience/bloom-7b1,0.346494,0.318259
arc_challenge,15,4,microsoft/Phi-3-mini-4k-instruct,0.546186,0.525597
arc_challenge,15,4,mistralai/Mistral-7B-Instruct-v0.1,0.551314,0.472696
arc_challenge,15,4,mistralai/Mistral-7B-Instruct-v0.3,0.702064,0.545222
arc_challenge,15,4,allenai/OLMo-2-0425-1B,0.384788,0.426621
arc_challenge,15,4,meta-llama/Llama-3.2-3B,0.438053,0.466724
arc_challenge,15,4,google/gemma-2-2b,0.466773,0.509386
arc_challenge,15,4,tiiuae/Falcon3-3B-Base,0.493349,0.465870
arc_challenge,15,4,google/gemma-2b,0.438053,0.432594
arc_challenge,15,4,bigscience/bloom-1b1,0.384788,0.261092
openbookqa,15,4,bigscience/bloom-7b1,0.322699,0.338000
openbookqa,15,4,microsoft/Phi-3-mini-4k-instruct,0.753627,0.492000
openbookqa,15,4,mistralai/Mistral-7B-Instruct-v0.1,0.450082,0.432000
openbookqa,15,4,mistralai/Mistral-7B-Instruct-v0.3,0.450082,0.508000
openbookqa,15,4,allenai/OLMo-2-0425-1B,0.351682,0.398000
openbookqa,15,4,meta-llama/Llama-3.2-3B,0.392349,0.438000
openbookqa,15,4,google/gemma-2-2b,0.362980,0.446000
openbookqa,15,4,tiiuae/Falcon3-3B-Base,0.392349,0.378000
openbookqa,15,4,google/gemma-2b,0.362980,0.372000
openbookqa,15,4,bigscience/bloom-1b1,0.261785,0.286000
sciq,15,4,bigscience/bloom-7b1,0.585283,0.623000
sciq,15,4,microsoft/Phi-3-mini-4k-instruct,0.700981,0.752000
sciq,15,4,mistralai/Mistral-7B-Instruct-v0.1,0.776532,0.764000
sciq,15,4,mistralai/Mistral-7B-Instruct-v0.3,0.858581,0.798000
sciq,15,4,allenai/OLMo-2-0425-1B,0.634478,0.840000
sciq,15,4,meta-llama/Llama-3.2-3B,0.872698,0.870000
sciq,15,4,google/gemma-2-2b,0.858581,0.906000
sciq,15,4,tiiuae/Falcon3-3B-Base,0.747449,0.825000
sciq,15,4,google/gemma-2b,0.653108,0.822000
sciq,15,4,bigscience/bloom-1b1,0.439217,0.543000
arc_challenge,20,0,allenai/OLMo-2-0425-1B,0.540968,0.426621
arc_challenge,20,0,openbmb/MiniCPM-2B-sft-bf16,0.479476,0.481229
arc_challenge,20,0,google/gemma-2b,0.538848,0.432594
arc_challenge,20,0,ibm-granite/granite-3.1-2b-base,0.316433,0.468430
arc_challenge,20,0,01-ai/Yi-6B,0.573130,0.482935
arc_challenge,20,0,stabilityai/stablelm-3b-4e1t,0.397228,0.393345
arc_challenge,20,0,EleutherAI/gpt-j-6b,0.475114,0.355802
arc_challenge,20,0,nvidia/Nemotron-Mini-4B-Instruct,0.475114,0.440273
arc_challenge,20,0,h2oai/h2o-danube2-1.8b-base,0.573130,0.382253
arc_challenge,20,0,deepseek-ai/deepseek-math-7b-base,0.475114,0.373720
openbookqa,20,0,allenai/OLMo-2-0425-1B,0.351645,0.398000
openbookqa,20,0,openbmb/MiniCPM-2B-sft-bf16,0.575664,0.454000
openbookqa,20,0,google/gemma-2b,0.525812,0.372000
openbookqa,20,0,ibm-granite/granite-3.1-2b-base,0.575664,0.412000
openbookqa,20,0,01-ai/Yi-6B,0.575664,0.432000
openbookqa,20,0,stabilityai/stablelm-3b-4e1t,0.525812,0.400000
openbookqa,20,0,EleutherAI/gpt-j-6b,0.478901,0.354000
openbookqa,20,0,nvidia/Nemotron-Mini-4B-Instruct,0.531110,0.432000
openbookqa,20,0,h2oai/h2o-danube2-1.8b-base,0.575664,0.400000
openbookqa,20,0,deepseek-ai/deepseek-math-7b-base,0.575664,0.328000
sciq,20,0,allenai/OLMo-2-0425-1B,0.727202,0.840000
sciq,20,0,openbmb/MiniCPM-2B-sft-bf16,0.795579,0.830000
sciq,20,0,google/gemma-2b,0.795579,0.822000
sciq,20,0,ibm-granite/granite-3.1-2b-base,0.877449,0.839000
sciq,20,0,01-ai/Yi-6B,0.727202,0.851000
sciq,20,0,stabilityai/stablelm-3b-4e1t,0.685416,0.764000
sciq,20,0,EleutherAI/gpt-j-6b,0.649439,0.680000
sciq,20,0,nvidia/Nemotron-Mini-4B-Instruct,0.685416,0.677000
sciq,20,0,h2oai/h2o-danube2-1.8b-base,0.624738,0.707000
sciq,20,0,deepseek-ai/deepseek-math-7b-base,0.795579,0.722000
arc_challenge,20,1,deepseek-ai/deepseek-math-7b-base,0.488532,0.373720
arc_challenge,20,1,Qwen/Qwen3-0.6B,0.556275,0.337884
arc_challenge,20,1,Qwen/Qwen3-4B,0.646306,0.514505
arc_challenge,20,1,Qwen/Qwen2.5-7B-Instruct,0.542791,0.449659
arc_challenge,20,1,google/gemma-2b,0.556275,0.432594
arc_challenge,20,1,bigscience/bloom-560m,0.286561,0.231229
arc_challenge,20,1,google/gemma-2-2b,0.523396,0.509386
arc_challenge,20,1,microsoft/Phi-3-mini-4k-instruct,0.603014,0.525597
arc_challenge,20,1,HuggingFaceTB/SmolLM-1.7B,0.671623,0.456485
arc_challenge,20,1,openbmb/MiniCPM-2B-sft-bf16,0.671623,0.481229
openbookqa,20,1,deepseek-ai/deepseek-math-7b-base,0.483335,0.328000
openbookqa,20,1,Qwen/Qwen3-0.6B,0.302091,0.352000
openbookqa,20,1,Qwen/Qwen3-4B,0.516840,0.456000
openbookqa,20,1,Qwen/Qwen2.5-7B-Instruct,0.583086,0.464000
openbookqa,20,1,google/gemma-2b,0.449913,0.372000
openbookqa,20,1,bigscience/bloom-560m,0.193099,0.284000
openbookqa,20,1,google/gemma-2-2b,0.563757,0.446000
openbookqa,20,1,microsoft/Phi-3-mini-4k-instruct,0.522945,0.492000
openbookqa,20,1,HuggingFaceTB/SmolLM-1.7B,0.462937,0.416000
openbookqa,20,1,openbmb/MiniCPM-2B-sft-bf16,0.484526,0.454000
sciq,20,1,deepseek-ai/deepseek-math-7b-base,0.713911,0.722000
sciq,20,1,Qwen/Qwen3-0.6B,0.713911,0.675000
sciq,20,1,Qwen/Qwen3-4B,0.790808,0.866000
sciq,20,1,Qwen/Qwen2.5-7B-Instruct,0.548269,0.612000
sciq,20,1,google/gemma-2b,0.796327,0.822000
sciq,20,1,bigscience/bloom-560m,0.328215,0.507000
sciq,20,1,google/gemma-2-2b,0.841465,0.906000
sciq,20,1,microsoft/Phi-3-mini-4k-instruct,0.841465,0.752000
sciq,20,1,HuggingFaceTB/SmolLM-1.7B,0.790808,0.836000
sciq,20,1,openbmb/MiniCPM-2B-sft-bf16,0.841465,0.830000
arc_challenge,20,2,Qwen/Qwen2.5-3B-Instruct,0.347607,0.415529
arc_challenge,20,2,bigscience/bloom-7b1,0.347607,0.318259
arc_challenge,20,2,openai-community/gpt2-xl,0.369488,0.279863
arc_challenge,20,2,google/gemma-3-1b-it,0.393529,0.369454
arc_challenge,20,2,Qwen/Qwen2.5-1.5B-Instruct,0.419321,0.398464
arc_challenge,20,2,Qwen/Qwen1.5-4B,0.452370,0.389932
arc_challenge,20,2,bigscience/bloom-560m,0.347607,0.231229
arc_challenge,20,2,mistralai/Mistral-7B-v0.1,0.660911,0.529010
arc_challenge,20,2,meta-llama/Llama-3.2-3B,0.660911,0.466724
arc_challenge,20,2,deepseek-ai/deepseek-coder-6.7b-base,0.545023,0.303754
openbookqa,20,2,Qwen/Qwen2.5-3B-Instruct,0.460927,0.446000
openbookqa,20,2,bigscience/bloom-7b1,0.472364,0.338000
openbookqa,20,2,openai-community/gpt2-xl,0.439066,0.292000
openbookqa,20,2,google/gemma-3-1b-it,0.423125,0.362000
openbookqa,20,2,Qwen/Qwen2.5-1.5B-Instruct,0.460927,0.436000
