floor,target,model,fold,n_scen,n_crit,reason,reach_se_post,hit_cap,plateau,eap_sd,se_param,se_total,theta_ref,theta_cat,mwle_converged,weak
15,0.25,Qwen/Qwen1.5-1.8B,1,25,81,plateau,False,False,True,0.2622152289234477,0.0928750745346735,0.2781772919366302,-2.2365111107241464,-3.78627759201261,True,False
15,0.25,01-ai/Yi-6B,1,17,56,reach,True,False,False,0.2417194323049765,0.0755447042358991,0.2532494546725217,-1.79762442582596,-1.576749680165814,True,False
15,0.25,google/gemma-2-2b,2,16,54,reach,True,False,False,0.246185724748862,0.0797725380164116,0.258787690765427,-1.70478549692243,-1.2795092672723047,True,False
15,0.25,microsoft/phi-1_5,2,15,47,reach,True,False,False,0.2483798626423063,0.073818368714064,0.2591171698784479,-1.7029756845532489,-1.2854849325803757,True,False
15,0.25,openbmb/MiniCPM-1B-sft-bf16,1,15,47,reach,True,False,False,0.2482835115394139,0.0691571420608392,0.2577351594182784,-1.5267900807005064,-1.124364048011197,True,False
15,0.25,BSC-LT/salamandra-7b,3,19,54,reach,True,False,False,0.2482834232007614,0.0712445464454103,0.2583030074050642,-1.285720425517975,-1.8610440075158503,True,False
15,0.25,01-ai/Yi-1.5-6B,3,20,62,plateau,False,False,True,0.2531308179665957,0.0755956340076005,0.2641778016515561,-1.1089829715790342,-2.642638812972313,True,False
15,0.25,Qwen/Qwen2-0.5B,4,17,50,reach,True,False,False,0.2496677227994852,0.0701306571152074,0.2593304472584956,-0.8769897024695454,-1.2213006411030798,True,False
15,0.25,pankajmathur/orca_mini_3b,0,15,60,reach,True,False,False,0.2267016801966696,0.1073200150558544,0.2508211263741193,-0.7737513691032283,-0.5885939535395677,True,False
15,0.25,h2oai/h2o-danube2-1.8b-base,4,16,55,reach,True,False,False,0.2342060310978447,0.0621533376885807,0.2423128192820911,-0.5773647218023675,-0.7296132285609899,True,False
15,0.25,tiiuae/Falcon3-3B-Base,1,17,54,reach,True,False,False,0.2465369417927379,0.0619869411063945,0.2542102368832606,-0.10904701402655,-1.4253787078515254,True,False
15,0.25,openbmb/MiniCPM-2B-sft-bf16,0,15,69,reach,True,False,False,0.2171591424324498,0.1034791389960097,0.2405535810362268,0.1382935245436889,0.9346179346732192,True,False
15,0.25,ibm-granite/granite-3.1-2b-base,3,15,52,reach,True,False,False,0.225767366278323,0.0845395303327506,0.2410764108433932,0.4317231575788782,-0.3061968523823388,True,False
15,0.25,BSC-LT/salamandra-2b-instruct,0,15,61,reach,True,False,False,0.2259241397815774,0.1091419149666035,0.2509057084616112,0.4340879848930562,1.2044848902081349,True,False
15,0.25,ibm-granite/granite-3.0-2b-base,2,15,69,reach,True,False,False,0.218267731099912,0.0639907146599428,0.2274546416369508,0.7157436334981562,0.7547989761765004,True,False
15,0.25,utter-project/EuroLLM-1.7B-Instruct,0,15,68,reach,True,False,False,0.2138248929760755,0.0761179052685792,0.2269692057498253,0.7196500011655427,1.0601032111666913,True,False
15,0.25,h2oai/h2o-danube-1.8b-chat,3,15,79,reach,True,False,False,0.2144341844165519,0.0893662705014208,0.2323108902951494,0.769877351440985,1.0748224961106163,True,False
15,0.25,ibm/PowerLM-3b,0,15,48,reach,True,False,False,0.2368675881640132,0.0589163574499506,0.2440848039059518,0.8832831657428275,0.292565598025864,True,False
15,0.25,Qwen/Qwen1.5-1.8B-Chat,3,15,77,reach,True,False,False,0.2251483129713412,0.0747524391784502,0.2372334082648751,0.9383599724962252,1.1933630279604217,True,False
15,0.25,OpenBMB/MiniCPM4-0.5B,4,15,81,reach,True,False,False,0.1967240387623373,0.0860789770397122,0.214732246565738,0.9702114139737597,1.2412982938389996,True,False
15,0.25,Qwen/Qwen2.5-0.5B-Instruct,4,15,85,reach,True,False,False,0.1914508150993308,0.0848453021315016,0.2094090253450981,1.0003408943013712,1.2336602362986089,True,False
15,0.25,BSC-LT/salamandra-7b-instruct,2,15,63,reach,True,False,False,0.2414094743054374,0.0850720481014194,0.255960519714658,1.1217609731908142,1.4333829484211675,True,False
15,0.25,h2oai/h2o-danube2-1.8b-chat,1,15,70,reach,True,False,False,0.2256978055926521,0.0984045260981061,0.2462172825086238,1.3640989163912731,1.420426941891239,True,False
15,0.25,tiiuae/Falcon3-1B-Instruct,1,15,69,reach,True,False,False,0.2288151192501866,0.0833390511566181,0.2435195192282593,1.5346750044482065,1.4939525971578511,True,False
15,0.25,ibm-granite/granite-7b-instruct,1,15,63,reach,True,False,False,0.2415753515851126,0.0957446585144861,0.2598570571054909,1.5387038344306652,1.684535901404579,True,False
15,0.25,01-ai/Yi-6B-Chat,3,15,70,reach,True,False,False,0.2281272527588471,0.0708468128853917,0.2388751019828492,1.6157559939272366,1.119012172220173,True,False
15,0.25,stabilityai/stablelm-2-zephyr-1_6b,0,15,64,reach,True,False,False,0.2408741942036855,0.0602962995063097,0.2483063051302351,1.6544896023565143,1.8299109282500312,True,False
15,0.25,stabilityai/stablelm-2-1_6b-chat,2,15,67,reach,True,False,False,0.2384082683099543,0.0833651000190137,0.2525633431433218,1.7012046096196338,1.7789914482104852,True,False
15,0.25,meta-llama/Llama-3.2-1B-Instruct,1,19,68,reach,True,False,False,0.2466710602596548,0.139546459974457,0.2834075271777815,1.844537461820368,2.4939650609520503,True,False
15,0.25,allenai/OLMo-2-0425-1B-DPO,4,18,72,reach,True,False,False,0.248880754383614,0.1172254496717462,0.2751062266712622,1.9064922832555335,2.546713628020258,True,False
15,0.25,allenai/OLMo-2-0425-1B-Instruct,4,15,76,reach,True,False,False,0.2346539286713475,0.0703301864551821,0.2449669393361449,1.9277236641697573,2.1255437197818807,True,False
15,0.25,stabilityai/stablelm-zephyr-3b,2,17,82,reach,True,False,False,0.2424333917739827,0.103203772740501,0.2634861820948309,2.099496387084817,2.017534395137471,True,False
15,0.25,arcee-ai/raspberry-3B,0,20,66,reach,True,False,False,0.2486172728370128,0.1157643613183204,0.2742479456702498,2.2409551098092257,2.5848690661494733,True,False
15,0.25,01-ai/Yi-1.5-6B-Chat,2,20,85,reach,True,False,False,0.2473013192757396,0.1623945598161875,0.2958545851823402,2.467123048711958,3.0226288938175045,True,False
15,0.25,nvidia/AceInstruct-1.5B,1,20,77,reach,True,False,False,0.2418093559789889,0.1447877671458332,0.2818426194776961,2.611238358238426,3.0112071064871384,True,False
15,0.25,pankajmathur/orca_mini_v9_5_3B-Instruct,4,21,78,reach,True,False,False,0.2490098637849033,0.1023764032860947,0.2692338021348233,2.9141365799328645,3.047386519531189,True,False
15,0.25,ibm-granite/granite-3.1-2b-instruct,2,21,82,reach,True,False,False,0.2481201544206904,0.1033911598362749,0.2687998194977768,3.3470923252298896,3.745875751090923,True,False
15,0.25,tiiuae/Falcon3-3B-Instruct,4,26,95,reach,True,False,False,0.2447909146053286,0.1226114965116665,0.2737812465274853,3.360520511960625,3.7480881688518273,True,False
15,0.25,meta-llama/Llama-3.2-3B-Instruct,0,24,81,reach,True,False,False,0.2496061651089141,0.1195760339137141,0.2767700589784094,3.5312620138956534,3.764467439946899,True,False
15,0.25,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,4,23,86,reach,True,False,False,0.2454498768547559,0.1332060022788656,0.2792659683726823,3.6537824346981247,3.5965562981507797,True,False
