assignment_id,scenario_id,anonymous_tutor,use_case,subject,criterion_id,primary_skill,criticality,criterion,grade,notes
grader_03_item_03,tb_0340,Tutor B,feedback,statistics,tb_0340_c06,content,critical,The response must include that the answer is positive because the elk from the problem (204.3 kg) weighs more than the expected value (196.16 kg).,F,____
grader_03_item_03,tb_0340,Tutor B,feedback,statistics,tb_0340_c07,diagnosis,critical,"The response must include that the student seemed confused as they explained their negative answer: ""...maybe it just means the elk weighed more than expect.""",P,____
grader_03_item_03,tb_0340,Tutor B,feedback,statistics,tb_0340_c08,diagnosis,critical,"The response must acknowledge the student's stated uncertainty about the sign and validate their correct instinct that the elk weighed more than predicted, rather than confirming the student's incorrect 'predicted - actual' framing.",P,derived from original compound tb_0340_c08 during curation regrade (validate; reworded criterion)
grader_03_item_03,tb_0340,Tutor B,feedback,statistics,tb_0340_c09,diagnosis,critical,"The response must redirect the student toward the actual goal of the problem (e.g., prompting them to consider what the residual means in context rather than stopping at the arithmetic).",F,derived; redirect/scaffolding move (prompt vs tell)
grader_03_item_03,tb_0340,Tutor B,feedback,statistics,tb_0340_c10,scaffolding,not_critical,The response should include an analogy for thinking about finding residual weight similar to finding the difference between a cookie recipe's expected yield and how many cookies are actually baked.,F,____
grader_03_item_03,tb_0340,Tutor B,feedback,statistics,tb_0340_c11,,not_critical,"The response should follow tutoring presentation conventions: address the student in the second person (conversational tutor voice). (Style/presentation only; not a content, diagnosis, or scaffolding skill.)",P,____
grader_03_item_04,tb_0335,Tutor C,feedback,computer_science,tb_0335_c01,content,critical,"The response must clearly explain that private methods are resolved based on the class where the method is defined, not the runtime type of the object, and must directly refute the idea that the secret() method from class B is ever called.",P,____
grader_03_item_04,tb_0335,Tutor C,feedback,computer_science,tb_0335_c02,content,critical,"The explanation must explicitly note that the secret() method in class B is not overriding the secret() method in class A, but instead defines a completely separate method.",P,____
grader_03_item_04,tb_0335,Tutor C,feedback,computer_science,tb_0335_c03,content,critical,"The response must clarify that reveal() is defined in class A and therefore always executes A's version of secret(), regardless of the runtime type of obj",F,____
grader_03_item_04,tb_0335,Tutor C,feedback,computer_science,tb_0335_c04,content,critical,The response must correctly identifies that private methods are not inherited therefore are not overridden.,F,____
grader_03_item_04,tb_0335,Tutor C,feedback,computer_science,tb_0335_c05,content,critical,"The response must avoids describing the program as ""failing to compile"" based solely on private method naming overlap.",P,____
grader_03_item_04,tb_0335,Tutor C,feedback,computer_science,tb_0335_c06,content,critical,"The explanation must clarify that the method call to secret() is resolved at compile time based on the reference type (A), not the runtime type (B), and that polymorphism does not apply to private methods.",F,____
grader_03_item_04,tb_0335,Tutor C,feedback,computer_science,tb_0335_c07,content,critical,The response must explicitly state that a private method can be called only by other methods within its own class.,F,____
grader_03_item_04,tb_0335,Tutor C,feedback,computer_science,tb_0335_c08,,not_critical,"The model's response should be written in the second person, addressed to the student.",P,____
grader_03_item_05,tb_0507,Tutor A,hint_generation,physics,tb_0507_c01,,critical,The response must acknowledge the student's expressed feeling of being 'puzzled' or 'stuck'.,F,____
grader_03_item_05,tb_0507,Tutor A,hint_generation,physics,tb_0507_c02,diagnosis,critical,The response must address the student's direct question about mass by guiding them to consider the total mass of the system (box + weight).,P,____
grader_03_item_05,tb_0507,Tutor A,hint_generation,physics,tb_0507_c03,scaffolding,critical,The response must hint at the concept of linearizing a graph by suggesting the student manipulate the (to be found) equation to match the form y=mx+b.,F,____
grader_03_item_05,tb_0507,Tutor A,hint_generation,physics,tb_0507_c04,scaffolding,critical_negative,The response must not provide the specific formula T=2╧Ç(sqrt(m/k)) or directly state that the student should plot (T^2) vs. m.,F,____
grader_03_item_05,tb_0507,Tutor A,hint_generation,physics,tb_0507_c05,diagnosis,not_critical,"The response should validate the student's initial thoughts by praising their idea to think about the relationship between mass/period and graphing (e.g., 'You're on the right track...').",P,____
grader_03_item_05,tb_0507,Tutor A,hint_generation,physics,tb_0507_c06,,not_critical,"The response should use formatting (like bullet points or bolding) to separate distinct hints, making them easier for the student to read.",P,____
grader_03_item_05,tb_0507,Tutor A,hint_generation,physics,tb_0507_c07,scaffolding,critical,The response must provide the key hint to address the forgotten formula by suggesting the student find or refer to a formula sheet.,F,____
