model,is_new,n_items,accuracy,top_pred_letter,top_pred_frac,n_missing_pred,degenerate_single_answer,in_matrix
meta-llama/Llama-3.2-1B-Instruct,False,920,0.2739,D,0.3076,0,False,True
meta-llama/Llama-3.2-3B-Instruct,False,920,0.3011,D,0.3163,0,False,True
microsoft/phi-1_5,False,920,0.2652,D,0.2641,0,False,True
nvidia/AceInstruct-1.5B,False,920,0.2565,D,0.3043,0,False,True
openai-community/gpt2-large,True,920,0.237,D,0.2728,0,False,True
openai-community/gpt2-medium,True,920,0.238,D,0.2685,0,False,True
openai-community/gpt2-xl,True,920,0.2424,D,0.2815,0,False,True
openbmb/MiniCPM-1B-sft-bf16,False,920,0.2848,B,0.2663,0,False,True
openbmb/MiniCPM-2B-sft-bf16,False,920,0.2804,D,0.262,0,False,True
openlm-research/open_llama_3b,False,920,0.2511,D,0.2674,0,False,True
pankajmathur/orca_mini_3b,False,920,0.2598,D,0.2717,0,False,True
pankajmathur/orca_mini_v9_5_3B-Instruct,False,920,0.2967,D,0.2935,0,False,True
princeton-nlp/Sheared-LLaMA-1.3B,True,920,0.2511,D,0.2739,0,False,True
princeton-nlp/Sheared-LLaMA-2.7B,True,920,0.2587,D,0.2739,0,False,True
stabilityai/stablelm-2-1_6b-chat,False,920,0.2793,D,0.3239,0,False,True
stabilityai/stablelm-2-zephyr-1_6b,False,920,0.2685,D,0.3272,0,False,True
stabilityai/stablelm-zephyr-3b,False,920,0.2717,D,0.3217,0,False,True
tiiuae/Falcon3-1B-Instruct,False,920,0.2783,D,0.3293,0,False,True
tiiuae/Falcon3-3B-Base,False,920,0.287,D,0.262,0,False,True
tiiuae/Falcon3-3B-Instruct,False,920,0.2804,D,0.3098,0,False,True
utter-project/EuroLLM-1.7B,False,920,0.262,D,0.2772,0,False,True
utter-project/EuroLLM-1.7B-Instruct,False,920,0.2663,D,0.3043,0,False,True
