criterion_id	scenario_id	buckets	n_buckets	criterion
te_0020_c02	te_0020	not_a_requirement	1	gradient calculation would be the same for all neurons in a layer due to same-value weight initialization
te_0020_c03	te_0020	not_a_requirement	1	such redundancy would easily make the network stuck in local minima
te_0021_c01	te_0021	not_a_requirement	1	proper uniform initialization has similar performance compared to proper Gaussian initialization
te_0021_c02	te_0021	not_a_requirement	1	the exact mechanism is not clear and is still being studied
te_0022_c01	te_0022	not_a_requirement	1	understand that PyTorch will use the default weight initialization method
te_0022_c02	te_0022	not_a_requirement	1	understand that the default weight initialization method is uniform distribution
te_0023_c01	te_0023	not_a_requirement	1	standard deviation of the Gaussian distribution should be smaller
te_0023_c02	te_0023	not_a_requirement	1	smaller standard deviation means the distribution is more concentrated or spiked around the mean
te_0023_c03	te_0023	not_a_requirement	1	the neurons in deep layers would have a more concentrated distribution of weights, thus the activation function would not saturate
te_0024_c01	te_0024	not_a_requirement	1	distribution of weights as we go deeper would make the activation function saturate
te_0024_c02	te_0024	not_a_requirement	1	the gradient would be very small
te_0024_c03	te_0024	not_a_requirement	1	the network would not learn or learn very slowly
te_0025_c01	te_0025	not_a_requirement	1	difference between model parallelism and data parallelism
te_0025_c02	te_0025	not_a_requirement;under_specified	2	distributed training
te_0025_c03	te_0025	not_a_requirement;under_specified	2	gpu-gpu communication
te_0026_c01	te_0026	not_a_requirement	1	the full name of ILSVRC-2012 is ImageNet Large Scale Visual Recognition Challenge 2012
te_0026_c02	te_0026	not_a_requirement	1	ILSVRC-2012 contains 1000 categories and 1.2 million images
te_0027_c01	te_0027	not_a_requirement;under_specified	2	CIFAR-10
te_0027_c02	te_0027	not_a_requirement;under_specified	2	CIFAR-100
te_0027_c03	te_0027	not_a_requirement;under_specified	2	SVHN
te_0027_c04	te_0027	not_a_requirement;under_specified	2	MNIST
te_0028_c01	te_0028	not_a_requirement;under_specified	2	image resizing
te_0028_c02	te_0028	not_a_requirement;under_specified	2	center cropping
te_0028_c03	te_0028	not_a_requirement;under_specified	2	random cropping
te_0028_c04	te_0028	not_a_requirement;under_specified	2	horizontal reflection
te_0029_c01	te_0029	not_a_requirement	1	ReLU is a linear function
te_0029_c02	te_0029	not_a_requirement	1	sigmoid and tanh are non-linear functions
te_0029_c03	te_0029	not_a_requirement	1	the gradient of ReLU is constant
te_0030_c01	te_0030	not_a_requirement	1	examples include make-node, get-value, get-next, set-value, set-next
te_0030_c02	te_0030	not_a_requirement	1	All operations can be performed in time that is O(1)
te_0038_c01	te_0038	not_a_requirement	1	The get-nth needs traversing the list to reach the nth element, thus O(N) complexity
te_0038_c02	te_0038	not_a_requirement	1	The get-value of a List Iterator can directly accesses the value of the element the iterator points to, thus O(1) complexity.
te_0045_c02	te_0045	not_a_requirement	1	Calculate the Bacon number for a given actor using graph concepts
te_0047_c01	te_0047	under_specified	1	Define undirected tree.
te_0047_c02	te_0047	not_a_requirement	1	a single node in a DAG can have multiple parent nodes, which is not possible in an undirected tree.
te_0049_c01	te_0049	not_a_requirement	1	The undirected edges has unordered pairs, which means that each edge is unique regardless of vertex order.
te_0049_c02	te_0049	not_a_requirement	1	This formulation calculates the maximum number of edges as the number of unique pairs.
te_0050_c02	te_0050	compound_multipart	1	Explain add(i, x) and remove(i) operations.
te_0051_c01	te_0051	compound_multipart	1	Discuss the time complexity O(1) of get(i) and set(i, x) in an ArrayStack
te_0052_c01	te_0052	under_specified	1	describe the amortized analysis
te_0052_c02	te_0052	compound_multipart	1	Discuss the lemma provided in the textbook that demonstrates the O(m) total cost for a sequence of m add(i, x) or remove(i) operations
te_0054_c01	te_0054	vague_qualifier	1	Discuss a good hash function can spread elements evenly across the hash table to minimize collisions.
te_0055_c01	te_0055	not_a_requirement	1	Reason about the proof, including equivalence of Hash Values, decomposition of binary representation difference, and probability calculation.
te_0056_c01	te_0056	not_a_requirement;observational_verdict	2	It is correct that this would not violate the binary search tree property
te_0056_c02	te_0056	not_a_requirement	1	It would result in a more unbalanced tree than the algorithm in the book
te_0057_c01	te_0057	not_a_requirement	1	Explore potential strategies, such as allowing duplicate values in a specific subtree or using augmented tree structures.
te_0059_c01	te_0059	not_a_requirement	1	Need to check the binary search tree property for every node, so O(n)
te_0060_c01	te_0060	not_a_requirement	1	If a node u doesn't have a left or right child, `u.left` or `u.right` are nil respectively
te_0060_c02	te_0060	not_a_requirement	1	Therefore, we are looking for a value `x` in a branch of the binary search tree that doesn't exist, so we stop the search and return nil.
te_0061_c01	te_0061	not_a_requirement;observational_verdict	2	It is indeed O(n) for linked list
te_0061_c02	te_0061	not_a_requirement	1	However, there are other unbalanced binary trees that also have find operations in O(n), e.g., a tree where every right child has only a left child and vice versa.
te_0062_c01	te_0062	not_a_requirement	1	Analyze the time complexity of these operations
te_0063_c01	te_0063	not_a_requirement	1	A binary search tree is a binary tree where the value of the left child is smaller than the value of the parent, and the value of the right child is larger than the value of the parent.
te_0066_c01	te_0066	under_specified	1	Discuss the heap property.
te_0066_c02	te_0066	under_specified	1	Explain bubbleUp and trickleDown
te_0068_c01	te_0068	not_a_requirement	1	Differentiating between outer joins and inner joins in Microsoft Access queries.
te_0069_c01	te_0069	not_a_requirement	1	Explore use cases for a Cartesian product in a Microsoft Access query.
te_0076_c01	te_0076	not_a_requirement	1	In a file-based system, when an application opens a file, that file is locked.
te_0081_c02	te_0081	not_a_requirement	1	Explore the impact of these roles on maintaining database.
te_0082_c01	te_0082	not_a_requirement	1	It should include adding a new column and modifying an existing column.
te_0083_c01	te_0083	not_a_requirement	1	Explaining the steps to create a new table in SQL
te_0083_c02	te_0083	not_a_requirement	1	It should also include the specification of column names, data types, and optional column constraints
te_0085_c02	te_0085	compound_multipart;hedging;not_a_requirement	3	If the number of loop iterations is not comparable, then the complexity may not be quadratic
te_0086_c01	te_0086	compound_multipart	1	Identifies and points out to the student that they are confused about the algorithmic complexity of removeAll
te_0086_c02	te_0086	compound_multipart	1	Explain that if the size of each element is constant, then 'm' is considered constant
te_0086_c03	te_0086	not_a_requirement	1	In the case of constant 'm', the algorithm is O(n)
te_0087_c01	te_0087	compound_multipart	1	Identifies and points out to the student that they are confused about terminology
te_0089_c01	te_0089	compound_multipart	1	Identifies and points out to the student that they are confused about the run time complexity of searching for values in a binary search tree.
te_0090_c01	te_0090	compound_multipart	1	Identifies and points out to the student that they are confused about the run time complexity of search in a binary search tree
te_0091_c01	te_0091	compound_multipart	1	Identifies and points out to the student that they are confused about which relevance metric to use for the query sorting.
te_0093_c01	te_0093	compound_multipart	1	Identifies and points out to the student that they are confused about implementing an OR operation
te_0094_c01	te_0094	compound_multipart	1	Identifies and points out to the student that they are confused about indexing
te_0095_c01	te_0095	compound_multipart	1	Identifies and points out to the student that they are confused about list indexing
te_0096_c01	te_0096	compound_multipart	1	"Identifies and points out to the student that they are wrong: the string ""cheese"" is not printed out at each iteration"
te_0096_c02	te_0096	compound_multipart	1	Identifies and points out to the student that they are confused about iterating through elements in a list
te_0096_c04	te_0096	not_a_requirement	1	The string stored in each element of the list 'cheeses' will be printed out at each iteration
te_0099_c01	te_0099	compound_multipart	1	Identifies and points out to the student that they are confused
te_0100_c01	te_0100	compound_multipart	1	Identifies and points out to the student that they are confused about list operations
te_0101_c02	te_0101	not_a_requirement	1	Since the expression t1.append(3) is of type None, t2 is None
te_0102_c01	te_0102	not_a_requirement	1	Approaches for adding should include `append` and `+` operator.
te_0102_c02	te_0102	not_a_requirement	1	Approaches for deleting should include `del`, `pop` and `remove`.
te_0103_c01	te_0103	compound_multipart	1	Identifies and points out to the student that they are confused about Python terminology
te_0104_c04	te_0104	not_a_requirement	1	Tell the student that explicity raising exceptions can make errors more intelligible
te_0105_c01	te_0105	compound_multipart	1	Identifies and points out to the student that they are confused about the relationship between dictionary keys and values
te_0105_c02	te_0105	hedging	1	Explain that multiple keys may map to the same value
te_0107_c01	te_0107	compound_multipart	1	Identifies and points out to the student that they are confused about the advantage of dictionaries for this task
te_0107_c03	te_0107	compound_multipart	1	State that if an element 'x' is encountered and d[x] = True already, then there exists a duplicate
te_0108_c01	te_0108	not_a_requirement	1	list different hashable types in Python.
te_0112_c01	te_0112	compound_multipart	1	Identifies and points out to the student that they are incorrect
te_0112_c02	te_0112	compound_multipart	1	Identifies and points out to the student that they are confused about allowable operations with tuples
te_0113_c01	te_0113	compound_multipart	1	Identifies and points out to the student that they are confused about definitions
te_0113_c03	te_0113	not_a_requirement	1	Methods are functions that belong to a class
te_0114_c01	te_0114	compound_multipart	1	Identifies and points out to the student that they are confused about the difference between a class and an object
te_0118_c01	te_0118	not_a_requirement	1	convey to the student that it is acceptable to utilize print statements as part of the debugging process.
te_0118_c02	te_0118	not_a_requirement	1	List some situations where debugger is preferred over print statements
te_0119_c01	te_0119	compound_multipart	1	Identifies and points out to the student that they are confused about a specific Python behavior
te_0120_c01	te_0120	compound_multipart	1	Identifies and points out to the student that they are confused about the difference between a variable name and the data stored by the variable
te_0121_c01	te_0121	compound_multipart	1	Identifies and points out to the student that they are confused
te_0122_c01	te_0122	compound_multipart	1	Identifies and points out to the student that they are confused about exit conditions in recursion
te_0122_c02	te_0122	compound_multipart;not_a_requirement	2	The if statement in countdown() is an exit condition. Without it, the recursion will go on with no stop.
te_0123_c01	te_0123	not_a_requirement	1	Only one branch is executed with elif statement
te_0123_c02	te_0123	not_a_requirement	1	multiple if statements can be executed if conditions are met
te_0125_c01	te_0125	compound_multipart	1	Identifies and points out to the student that they are confused about variable assignment
te_0126_c02	te_0126	vague_qualifier	1	Mention that a good place to start debugging is to ensure that the variable 'n' is being decremented during each loop iteration
te_0128_c02	te_0128	not_a_requirement	1	Tell student that the .strip() function must be used to remove white space
te_0128_c03	te_0128	not_a_requirement	1	Instruct the student to implement a conditional statement that prints the words after calculating the length and matching the length criterion
te_0130_c01	te_0130	compound_multipart	1	Identifies and points out to the student that they are confused about whitespace characters
te_0131_c01	te_0131	not_a_requirement	1	It's widely used in digital circuit design and computer programming.
te_0131_c02	te_0131	not_a_requirement	1	In programming, conditional statements and loops are based on boolean algebra.
te_0132_c01	te_0132	not_a_requirement	1	It's used in systems that need to deal with uncertainty, and systems that do not simply have two states.
te_0132_c02	te_0132	not_a_requirement	1	It's not widely used because it's not as easy to understand as Boolean logic, and it's not as easy to implement in hardware.
te_0133_c01	te_0133	not_a_requirement;under_specified	2	Symbol ≡ means equivalent.
te_0134_c01	te_0134	not_a_requirement	1	Other mathematic frameworks such as probability theory can be used to represent stochastic events.
te_0134_c02	te_0134	not_a_requirement	1	Boolean algebra can be used to represent deterministic events.
te_0135_c01	te_0135	not_a_requirement	1	The binary nature of boolean algebra makes it hard to represent continuous values.
te_0135_c02	te_0135	not_a_requirement	1	Also it does not able to represent any ambiguity or uncertainty.
te_0136_c02	te_0136	not_a_requirement	1	come up with additional example.
te_0136_c03	te_0136	under_specified	1	explain the example.
te_0137_c03	te_0137	not_a_requirement	1	Because Q is true here, the implication is True
te_0138_c01	te_0138	not_a_requirement;observational_verdict;under_specified	3	Yes, this is correct!
te_0138_c03	te_0138	not_a_requirement	1	Look up the truth table and confirm conclusion
te_0139_c01	te_0139	not_a_requirement;observational_verdict;under_specified	3	Yes, this is correct.
te_0140_c01	te_0140	not_a_requirement	1	There are no standard operators in C++ that take more than three operands.
te_0140_c02	te_0140	not_a_requirement	1	C++ has unary, binary, and ternary operators that take one, two, and three operands, respectively.
te_0141_c01	te_0141	not_a_requirement;observational_verdict	2	Yes, they are bitwise operators.
te_0141_c02	te_0141	not_a_requirement	1	The order of precedence is ~, &, |.
te_0142_c01	te_0142	not_a_requirement	1	Bit-wise AND (&) has a higher precedence over equality and relational operators but logical AND (&&) has a lower precedence.
te_0143_c01	te_0143	not_a_requirement;observational_verdict	2	Yes, operator precedence can vary across different programming languages.
te_0143_c02	te_0143	not_a_requirement	1	For example, Python's exponentiation operator (**) has higher precedence than unary operators like the negation operator.
te_0144_c01	te_0144	not_a_requirement;observational_verdict	2	Yes, you can use parentheses to override the operator precedence in a programming language.
te_0145_c01	te_0145	not_a_requirement	1	It depends on the programming language.
te_0145_c02	te_0145	not_a_requirement;under_specified	2	Python allows negative remainders.
te_0146_c01	te_0146	not_a_requirement	1	For example, -7 // 2 = -4
te_0147_c01	te_0147	not_a_requirement	1	Array indexing, or calculating the number of days in a month.
te_0147_c02	te_0147	not_a_requirement	1	Memory allocation, or calculating the number of bytes needed to store a variable.
te_0147_c03	te_0147	not_a_requirement	1	Calculating the number of hours, minutes, and seconds in a given number of seconds.
te_0147_c04	te_0147	not_a_requirement	1	Calculating the number of dollars, quarters, dimes, nickels, and pennies in a given number of cents.
te_0148_c01	te_0148	not_a_requirement	1	The result will also be a float number in languages like python.
te_0149_c01	te_0149	not_a_requirement;observational_verdict	2	Yes, it will cause an error.
te_0149_c02	te_0149	not_a_requirement	1	The divisor cannot be 0.
te_0150_c01	te_0150	under_specified	1	explain that you can't
te_0152_c03	te_0152	compound_multipart;not_a_requirement;over_specified	3	for example, if a variable outside the function is 3 and the function changes the value of the variable to 4, then the variable outside the function will also be 4 in the case of call by reference, but will still be 3 in the case of call by value
te_0153_c01	te_0153	not_a_requirement	1	understanding that the variable outside the function is passed to the function as a copy
te_0153_c02	te_0153	not_a_requirement	1	changing the copy does not change the original variable, therefore the value of the variable outside the function does not change
te_0154_c01	te_0154	not_a_requirement	1	if a variable is changed when passed to a function, it means that the function is called by reference
te_0154_c02	te_0154	not_a_requirement	1	if you don't want the variable to change, you can use a copy of the variable instead of the variable itself
te_0155_c01	te_0155	not_a_requirement	1	Mostly not in modern programming languages.
te_0155_c02	te_0155	not_a_requirement	1	But it is still used in some cases, such as in assembly language programming.
te_0155_c03	te_0155	not_a_requirement;observational_verdict	2	It is also used in some cases where the programmer wants to optimize the code for speed or size.
te_0156_c01	te_0156	not_a_requirement	1	Almost all modern programming languages support both for and while loops.
te_0156_c02	te_0156	not_a_requirement	1	For loop in C++: for (int i = 0; i < 10; i++) { cout << i << endl; }
te_0156_c03	te_0156	not_a_requirement	1	While loop in C++: int i = 0; while (i < 10) { cout << i << endl; i++; }
te_0156_c04	te_0156	compound_multipart;not_a_requirement	2	For loop in Python: for i in range(10): print(i)
te_0156_c05	te_0156	compound_multipart;not_a_requirement	2	While loop in Python: i = 0; while i < 10: print(i); i += 1
te_0156_c06	te_0156	compound_multipart;not_a_requirement	2	For loop in Java: for (int i = 0; i < 10; i++) { System.out.println(i); }
te_0156_c07	te_0156	compound_multipart;not_a_requirement	2	While loop in Java: int i = 0; while (i < 10) { System.out.println(i); i++; }
te_0157_c01	te_0157	not_a_requirement;under_specified	2	They are mostly interchangeable.
te_0157_c02	te_0157	not_a_requirement	1	Usually when the number of iteration is known, for loop is preferred.
te_0157_c03	te_0157	not_a_requirement	1	If the number of iteration is not known, while loop is preferred.
te_0158_c01	te_0158	not_a_requirement	1	Computer science was a very young field at that time, and it takes time for new ideas to be accepted.
te_0158_c02	te_0158	not_a_requirement	1	Eliminating unstructured branching makes the code more readable and easier to debug and maintain.
te_0159_c01	te_0159	not_a_requirement	1	Unstructured branching such as goto makes it hard to trace and read the code.
te_0159_c02	te_0159	not_a_requirement	1	It also makes it hard to maintain the code.
te_0159_c03	te_0159	not_a_requirement	1	Structured branching is a better design choice.
te_0160_c03	te_0160	under_specified	1	explain if statements
te_0160_c04	te_0160	not_a_requirement	1	if you understand all of these, you will realize that process_farhenheit() function will be called instead of process_celsius() function
te_0163_c01	te_0163	compound_multipart;not_a_requirement	2	read the corresponding function calculate_celsius() and calculate_fahrenheit()
te_0163_c02	te_0163	not_a_requirement	1	the formula is written as (fahrenheit - 32) * 5 / 9 and celsius * 9 / 5 + 32
te_0165_c01	te_0165	not_a_requirement;observational_verdict	2	Yes. if the condition of the while loop is always satisfied, the while loop will never stop executing
te_0165_c02	te_0165	not_a_requirement	1	another scenario is that there is no break statement in the while loop, which means that the while loop will never stop executing
te_0166_c01	te_0166	compound_multipart	1	explain that do-while loop executes the code block first, then checks the condition
te_0166_c02	te_0166	compound_multipart	1	explain that while loop checks the condition first, then executes the code block
te_0166_c03	te_0166	hedging	1	do-while makes the program execute the code block at least once, while while loop may not execute the code block at all
te_0167_c01	te_0167	not_a_requirement	1	understanding that a while loop is just a code block, therefore it can be written inside another while loop
te_0169_c02	te_0169	not_a_requirement	1	the easiest example is while (1 == 1), which is always true
te_0169_c03	te_0169	not_a_requirement	1	an even easier example is while True, which is always true
te_0170_c01	te_0170	not_a_requirement	1	For static arrays, you can delete an element by filling it with the rest of the array.
te_0170_c02	te_0170	not_a_requirement	1	If you don't fill it with the rest of the array, you will have a segmentation fault when accessing the array.
te_0170_c03	te_0170	not_a_requirement	1	Dynamic arrays are more flexible and allows deleting elements directly.
te_0171_c01	te_0171	not_a_requirement;observational_verdict	2	No, the size of a static array cannot be changed.
te_0171_c02	te_0171	not_a_requirement	1	You need dynamic memory allocation to change the size of an array.
te_0172_c01	te_0172	not_a_requirement	1	Set is the data structure that does not allow duplicate elements.
te_0173_c01	te_0173	not_a_requirement	1	The basic way is to use a standard for loop.
te_0173_c02	te_0173	not_a_requirement	1	The range-based for loop is a newer feature of C++ that makes iterating through an array easier.
te_0173_c03	te_0173	not_a_requirement	1	"int array[] = {1, 2, 3, 4, 5}; for (int element : array) { std::cout << element << "" ""; }"
te_0174_c01	te_0174	not_a_requirement	1	You can use std::sort to sort an array in C++ and it sorts the array in place.
te_0175_c01	te_0175	not_a_requirement	1	One should use descriptive names.
te_0175_c02	te_0175	not_a_requirement;under_specified	2	One should use snake_case.
te_0176_c01	te_0176	not_a_requirement	1	There are a lot of operations that can be done with arrays, such as sorting, searching, etc.
te_0177_c01	te_0177	not_a_requirement	1	Arrays are implemented as contiguous blocks of memory.
te_0177_c02	te_0177	not_a_requirement	1	Arrays do not depend on complicated data structures.
te_0178_c01	te_0178	not_a_requirement	1	Bloodshed Dev-C++ is an Integrated Development Environment (IDE) for C and C++ programming languages.
te_0178_c02	te_0178	not_a_requirement;observational_verdict	2	It is free and open-source.
te_0178_c03	te_0178	not_a_requirement	1	You can also use Visual Studio Code, Visual Studio, Xcode, Eclipse, NetBeans, etc. as your IDE for C++.
te_0179_c01	te_0179	not_a_requirement;under_specified	2	It's generally O(n).
te_0179_c02	te_0179	not_a_requirement	1	It's O(n) because you have to go through each element in the array to add them up.
te_0180_c01	te_0180	not_a_requirement;observational_verdict	2	No, the len() function returns the number of characters in a string, as mentioned in the chapter
te_0181_c01	te_0181	not_a_requirement	1	As infinity is not a number, it cannot be represented by a numeric variable
te_0181_c02	te_0181	not_a_requirement	1	However, you can use the float('inf') function to represent infinity
te_0181_c03	te_0181	not_a_requirement	1	Further, you can use the float('-inf') function to represent negative infinity
te_0182_c01	te_0182	not_a_requirement	1	understand that float is a 32-bit number and most programming languages use IEEE 754 standard to represent float
te_0182_c02	te_0182	not_a_requirement	1	in the python programming language, the smallest number that can be represented by a float is 2.2250738585072014e-308 and the largest number that can be represented by a float is 1.7976931348623157e+308
te_0182_c03	te_0182	not_a_requirement	1	this is a very small number and a very large number, respectively
te_0182_c04	te_0182	not_a_requirement	1	as an extension, understand that there also exists a double data type, which is a 64-bit number and can represent larger/smaller numbers than float
te_0183_c01	te_0183	not_a_requirement	1	If you divide an integer by another integer, the result is a float
te_0183_c02	te_0183	not_a_requirement;observational_verdict	2	This is true no matter if the result is a whole number or a decimal number
te_0184_c01	te_0184	not_a_requirement	1	in Code example 2, the space string is directly inserted between two string variables, which is then stored in another string variable
te_0185_c01	te_0185	not_a_requirement	1	while + is defined as concatenation for strings, it is defined as addition for integers
te_0185_c02	te_0185	not_a_requirement	1	when you add two integers, you get the sum of the two integers
te_0185_c03	te_0185	not_a_requirement	1	in thie case, the graduation year would be 2021 + 4 = 2025 instead of 20214
te_0186_c01	te_0186	not_a_requirement	1	although there are other operators such as -, *, /, %, etc, they are not defined for strings
te_0186_c02	te_0186	not_a_requirement	1	the only operator that is defined for strings is +
te_0186_c03	te_0186	not_a_requirement	1	however, there are some built-in functions that can be used on strings, such as len(), which returns the length of a string
te_0186_c04	te_0186	not_a_requirement	1	even more, other functions such as upper(), lower(), capitalize(), etc, can be used on strings, which operate on the string for different purposes
te_0187_c01	te_0187	not_a_requirement	1	the format() function is used to insert a variable into a string
te_0187_c02	te_0187	not_a_requirement	1	the format() function takes the variable as an argument and inserts it into the string using a placeholder
te_0188_c01	te_0188	not_a_requirement	1	the string on the right side of the + operator is appended to the string on the left side of the + operator
te_0188_c02	te_0188	not_a_requirement	1	the result is a new string that is the concatenation of the two strings
te_0189_c01	te_0189	not_a_requirement	1	the confounding factor is gender
te_0189_c02	te_0189	hedging;not_a_requirement	2	because women usually have longer hair than men and women are the major gender population of the site, it could seem that people with longer hair are more likely to use the site
te_0189_c03	te_0189	hedging;not_a_requirement	2	however, this may not hold true if we test the hypothesis by controlling the gender variable
te_0190_c01	te_0190	not_a_requirement	1	some controlled experiments are unethical, for example testing the effect of frequent barbecues on cancer
te_0190_c02	te_0190	not_a_requirement	1	some variables cannot be controlled, for example deciding the gender, polical affiliations or religious beliefs of a person
te_0191_c01	te_0191	not_a_requirement	1	controlled experiments eliminate confounding factors
te_0191_c02	te_0191	not_a_requirement	1	however, controlled experiments are usually more expensive and time-consuming than observational studies
te_0192_c01	te_0192	not_a_requirement	1	controlled experiments control the variables, while observational studies do not control the variables
te_0192_c02	te_0192	not_a_requirement	1	controlled experiments are usually more expensive and time-consuming than observational studies
te_0192_c03	te_0192	not_a_requirement	1	controlled experiments eliminate confounding factors, while observational studies do not eliminate confounding factors
te_0193_c01	te_0193	not_a_requirement	1	a confounding factor is a variable that affects both the independent and dependent variables
te_0193_c02	te_0193	not_a_requirement	1	a confounding factor is not measured in the experiment
te_0193_c03	te_0193	not_a_requirement	1	a confounding factor can cause a false correlation between the independent and dependent variables
te_0193_c04	te_0193	not_a_requirement	1	for example, the hot weather is a confounding factor for ice cream sales (independent variable) and number of shark attacks (dependent variable)
te_0194_c01	te_0194	not_a_requirement;observational_verdict	2	Yes, there are single direction hypothesis testing methods.
te_0195_c01	te_0195	hedging;not_a_requirement;vague_qualifier	3	Margin of error could be a good example.
te_0195_c02	te_0195	not_a_requirement	1	The standard deviation of the sample mean is another example.
te_0196_c01	te_0196	not_a_requirement	1	We can use ttest to calculate the uncertainty.
te_0196_c02	te_0196	not_a_requirement	1	The ttest function returns a p-value, which is the probability that the two means are the same.
te_0197_c01	te_0197	not_a_requirement	1	It means that there are programs that can help us calculate the uncertainty.
te_0197_c02	te_0197	hedging;not_a_requirement	2	These programs are often statistical tests packages that can be used to calculate the uncertainty of a result.
te_0198_c01	te_0198	not_a_requirement	1	Spurious association means that there is no real relationship between the variables, but the data analysis shows that there is a relationship between the variables.
te_0198_c02	te_0198	not_a_requirement	1	Because we don't want to make wrong conclusions out of data analysis.
te_0199_c01	te_0199	not_a_requirement	1	It's about R syntax, and the student should be able to figure it out by referring to R documentation.
te_0199_c02	te_0199	not_a_requirement	1	The correct answer is people[people$gender == 'female' & people$age > 30, 'salary']
te_0200_c01	te_0200	not_a_requirement;observational_verdict	2	Yes, you can collapse the categorical variables into one variable.
te_0200_c02	te_0200	not_a_requirement	1	You can then use a one-way ANOVA to test for significance.
te_0201_c01	te_0201	not_a_requirement;observational_verdict	2	No, because you are doing a two-sided ttest.
te_0201_c02	te_0201	not_a_requirement;vague_qualifier	2	There are single-sided ttest as well.
te_0202_c01	te_0202	not_a_requirement;observational_verdict	2	Yes, single and double quotation marks are the same in R
te_0203_c01	te_0203	not_a_requirement	1	The formula for calculating the t-statistic varies depending on the type of t-test being conducted
te_0203_c02	te_0203	not_a_requirement	1	The t-statistic is calculated by subtracting the difference between the two sample means from the null hypothesis, which is zero, and dividing the result by the standard error of the difference between the two sample means
te_0203_c03	te_0203	not_a_requirement	1	`statistics` is the mean of the difference between the two sample means
te_0204_c01	te_0204	not_a_requirement	1	if a python function does not have a return statement, it returns None by default
te_0204_c02	te_0204	not_a_requirement	1	None is a special value in python that represents nothingness
te_0205_c01	te_0205	not_a_requirement	1	the function stops executing when it reaches a return statement
te_0205_c02	te_0205	not_a_requirement	1	this means that multiple return statements don't conflict with the design of a function
te_0205_c03	te_0205	not_a_requirement	1	further, python documentation also mentions that a function can have multiple return statements
te_0206_c01	te_0206	not_a_requirement	1	in the chapter example, the body of the function is one line long
te_0206_c02	te_0206	not_a_requirement	1	however, the chapter also mentions that the body of a function can be multiple lines long
te_0206_c03	te_0206	not_a_requirement	1	therefore, the body of a function can be one line long or multiple lines long
te_0206_c04	te_0206	not_a_requirement	1	further, because the chapter mentions that the function only stops when it reaches a return statement, it means that the execution of the function can be stopped at any point in the function body, no matter how long the function body is
te_0207_c01	te_0207	not_a_requirement	1	if you don't write a return statement, the function will return None by default
te_0207_c02	te_0207	not_a_requirement	1	therefore, you don't need to write a return statement if you want the function to return None
te_0208_c01	te_0208	not_a_requirement	1	return statement returns a value from a function
te_0208_c02	te_0208	not_a_requirement	1	the value can be used in other parts of the program
te_0209_c01	te_0209	not_a_requirement	1	in the provided example, the decision tree is written as a function
te_0209_c02	te_0209	not_a_requirement	1	typical decision trees follow a set of rules to make decisions
te_0209_c03	te_0209	not_a_requirement	1	on the other hand, functions also follow a set of rules to make decisions
