bucket	criterion_id	decision	before	after	rationale																		11
not_a_requirement;under_specified	te_0028_c04	reword	horizontal reflection	Identifies horizontal reflection as one of the image transformation techniques used.	"Reworded the bare fragment into a positively framed, checkable requirement on the tutor's response."																		
not_a_requirement	te_0029_c01	flag_for_human	ReLU is a linear function	Describes how ReLU being a linear function means it needs less time than sigmoid or tanh.	"The embedded content is factually wrong: ReLU is a piecewise-linear but nonlinear function, so this cannot be salvaged by rewording."																		
not_a_requirement	te_0029_c02	reword	sigmoid and tanh are non-linear functions	States that sigmoid and tanh are non-linear functions.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0029_c03	reword	the gradient of ReLU is constant	States that the gradient of ReLU is constant for positive inputs.	Reframed the bare fact as a requirement on the tutor's response and added the positive-input qualifier for accuracy.																		
not_a_requirement	te_0030_c01	reword	"examples include make-node, get-value, get-next, set-value, set-next"	"Provides examples of node operations such as make-node, get-value, get-next, set-value, and set-next."	Reframed the bare list into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0030_c02	reword	All operations can be performed in time that is O(1)	States that all node operations can be performed in O(1) time	Reframed the bare fact as a positive requirement on the tutor's response.																		
not_a_requirement	te_0038_c01	reword	"The get-nth needs traversing the list to reach the nth element, thus O(N) complexity"	Explains that get-nth runs in O(N) because it must traverse the list from the beginning to reach the nth element.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0038_c02	reword	"The get-value of a List Iterator can directly accesses the value of the element the iterator points to, thus O(1) complexity."	"Explains that the iterator's get-value operation directly accesses the value of the element the iterator points to, making it O(1)."	Reframed the bare fact as a positive requirement on the tutor's response and fixed the grammar.																		
not_a_requirement	te_0045_c02	reword	Calculate the Bacon number for a given actor using graph concepts	States that the Bacon number for a given actor is calculated by finding the shortest path (via breadth-first search) between that actor's vertex and Kevin Bacon's vertex in the graph.	Reframed the bare task restatement into a checkable requirement on the tutor's response using graph concepts from the passage.																		
under_specified	te_0047_c01	reword	Define undirected tree.	Defines what an undirected tree is.	Reframed as a positive requirement on the tutor's response with an action verb.																		
not_a_requirement	te_0047_c02	reword	"a single node in a DAG can have multiple parent nodes, which is not possible in an undirected tree."	"States that a node in a DAG can have multiple parent nodes, which is not possible in an undirected tree."	Reframed the bare fact as a positively-framed requirement on the tutor's response.																		
not_a_requirement	te_0049_c01	reword	"The undirected edges has unordered pairs, which means that each edge is unique regardless of vertex order."	"States that undirected edges are unordered pairs, so an edge is the same regardless of the order of its two vertices."	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0049_c02	reword	This formulation calculates the maximum number of edges as the number of unique pairs.	States that this formula counts the maximum number of edges as the number of unique unordered pairs of vertices.	Reframed the observation as a positively framed requirement on the tutor's response.																		
compound_multipart	te_0050_c02	split	"Explain add(i, x) and remove(i) operations."	"Explains the add(i,x) operation, including shifting elements to make room and resizing when the array is full. ||| Explains the remove(i) operation, including shifting elements to fill the gap and resizing when the array becomes too small."	"The criterion bundles two independent operations, so it is split into separate atomic requirements."																		
compound_multipart	te_0051_c01	reword	"Discuss the time complexity O(1) of get(i) and set(i, x) in an ArrayStack"	"States that get(i) and set(i, x) in an ArrayStack have O(1) time complexity"	"Reworded into a positively framed requirement on the tutor's response, removing the vague verb 'discuss'."																		
under_specified	te_0052_c01	reword	describe the amortized analysis	Describes the amortized analysis showing why ArrayStack operations average O(1) despite occasional resizing.	Made the vague instruction a checkable requirement specifying the amortized O(1) result and resizing context.																		
compound_multipart	te_0052_c02	flag_for_human	"Discuss the lemma provided in the textbook that demonstrates the O(m) total cost for a sequence of m add(i, x) or remove(i) operations"	"Mentions the lemma for the total cost of a sequence of m add(i, x) or remove(i) operations being o(m)."	"The criterion references a specific external textbook lemma the judge cannot verify and which may not exist in the tutor's context, making it uncheckable and reference-dependent."																		
vague_qualifier	te_0054_c01	reword	Discuss a good hash function can spread elements evenly across the hash table to minimize collisions.	Explains that a hash function which spreads elements evenly across the table minimizes collisions.	Reframed as a requirement on the response and replaced the vague qualifier 'good' with the observable property of spreading elements evenly.																		
not_a_requirement	te_0055_c01	split	"Reason about the proof, including equivalence of Hash Values, decomposition of binary representation difference, and probability calculation."	"Establishes that hash(x)=hash(y) is equivalent to the highest-order d bits of z·x mod 2^w and z·y mod 2^w being the same. ||| Decomposes the binary representation of z(x-y) mod 2^w into random bits followed by a 1 followed by trailing 0's, using x-y = q·2^r with q odd. ||| Calculates the probability that z(x-y) mod 2^w has its top d bits all 0's or all 1's and bounds it by 2/2^d."	"The criterion bundles three independent proof steps (equivalence, binary decomposition, probability bound) into one; each is split into a self-contained checkable requirement."																		
not_a_requirement;observational_verdict	te_0056_c01	reword	It is correct that this would not violate the binary search tree property	Confirms that the student's proposed approach would not violate the binary search tree property	Reworded the bare verdict into a requirement that the tutor confirm the student's claim.																		
not_a_requirement	te_0056_c02	reword	It would result in a more unbalanced tree than the algorithm in the book	Explains that replacing X with R and reattaching L to the smallest node in R's subtree would produce a more unbalanced tree than the book's algorithm.	Reframed the bare observation into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0057_c01	reword	"Explore potential strategies, such as allowing duplicate values in a specific subtree or using augmented tree structures."	"Describes at least one strategy for handling duplicates, such as consistently placing duplicates in one subtree or augmenting nodes with a count field."	Reframed the vague 'explore' instruction into a checkable requirement that the response describe a concrete duplicate-handling strategy.																		
not_a_requirement	te_0059_c01	reword	"Need to check the binary search tree property for every node, so O(n)"	"States that checking the BST property requires visiting every node, giving O(n) time complexity."	Reframed the bare observation as a requirement on the tutor's response with a lead action verb.																		
not_a_requirement	te_0060_c01	reword	"If a node u doesn't have a left or right child, `u.left` or `u.right` are nil respectively"	"States that when a node lacks a left or right child, the corresponding u.left or u.right reference is nil."	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0060_c02	flag_for_human	"Therefore, we are looking for a value `x` in a branch of the binary search tree that doesn't exist, so we stop the search and return nil."	"Explain that if we are looking for a value in the binary search tree that doesn't exist,  we stop the search and return nil."	"The criterion is a fragment of an explanation, not a checkable requirement on the tutor's response, and cannot be salvaged by rewording without inventing scope."																		
not_a_requirement;observational_verdict	te_0061_c01	reword	It is indeed O(n) for linked list	Confirms that the find operation is O(n) when the binary tree degenerates into a linked list.	Reframed the bare verdict into a positive requirement on the tutor's response confirming the student's claim.																		
not_a_requirement	te_0061_c02	reword	"However, there are other unbalanced binary trees that also have find operations in O(n), e.g., a tree where every right child has only a left child and vice versa."	"States that other unbalanced binary trees besides linked lists also have O(n) find operations, such as a tree where every right child has only a left child and vice versa."	Reframed the bare observation as a positive requirement on the tutor's response.																		
not_a_requirement	te_0062_c01	reword	Analyze the time complexity of these operations	"States that the find(x), add(x), and remove(x) operations each take O(n) time in the worst case."	Reframed the instruction into a checkable requirement stating the actual complexity from the passage.																		
not_a_requirement	te_0063_c01	reword	"A binary search tree is a binary tree where the value of the left child is smaller than the value of the parent, and the value of the right child is larger than the value of the parent."	States that a binary search tree is a binary tree in which each node's left child value is smaller than the parent's and the right child value is larger than the parent's.	Reframed the bare fact into a positively framed requirement on the tutor's response.																		
under_specified	te_0066_c01	reword	Discuss the heap property.	Explains the heap property that each parent node maintains a defined ordering relationship with its children.	Replaced vague 'discuss' with a checkable requirement describing the heap property's substance.																		
under_specified	te_0066_c02	split	Explain bubbleUp and trickleDown	Explains the bubbleUp (sift-up) process used to restore the heap property after adding an element. ||| Explains the trickleDown (sift-down) process used to restore the heap property after removing an element.	"The criterion bundles two independent explanations, so split into one requirement each."																		
not_a_requirement	te_0068_c01	reword	Differentiating between outer joins and inner joins in Microsoft Access queries.	Explains how outer joins differ from inner joins in Microsoft Access queries.	"Reframed the topic phrase as a positive, checkable requirement on the tutor's response."																		
not_a_requirement	te_0069_c01	reword	Explore use cases for a Cartesian product in a Microsoft Access query.	"States situations in which a Cartesian product is used in a Microsoft Access query, such as when no join criteria is specified between tables."	Reframed the vague instruction into a checkable requirement on the tutor's response about when a Cartesian product is used.																		
not_a_requirement	te_0076_c01	reword	"In a file-based system, when an application opens a file, that file is locked."	"States that in a file-based system, when an application opens a file, that file is locked, preventing others from accessing it simultaneously."	Reframed the bare fact as a positively-framed requirement on the tutor's response.																		
not_a_requirement	te_0081_c02	flag_for_human	Explore the impact of these roles on maintaining database.	Describes the impact of the roles of a DBA on  maintaining database.	"This is a vague instructional directive ('Explore the impact...') rather than a checkable requirement on the tutor's response, and it cannot be salvaged without inventing new scope."																		
not_a_requirement	te_0082_c01	split	It should include adding a new column and modifying an existing column.	Explains how to use ALTER TABLE to add a new column to an existing table. ||| Explains how to use ALTER TABLE to modify an existing column in a table.	"The criterion bundles two independent tutor actions (adding a column and modifying a column), so it is split into atomic, response-focused requirements."																		
not_a_requirement	te_0083_c01	reword	Explaining the steps to create a new table in SQL	"Explains the steps to create a new table in SQL, including the CREATE TABLE statement and specifying column names, data types, and constraints."	Reframed the gerund phrase into a positively framed requirement on the tutor's response with observable content.																		
not_a_requirement	te_0083_c02	reword	"It should also include the specification of column names, data types, and optional column constraints"	"States that a CREATE TABLE statement specifies column names, data types, and optional column constraints for each field."	"Reworded into a positively framed, checkable requirement on the tutor's response, removing the vague 'should also include' framing."																		
compound_multipart;hedging;not_a_requirement	te_0085_c02	reword	"If the number of loop iterations is not comparable, then the complexity may not be quadratic"	"Explains that when the two nested loops iterate different numbers of times (n and m), the complexity is O(nm) rather than O(n^2)."	"Removed hedging and vague 'comparable' wording, framing it as a firm requirement on the tutor's explanation."																		
compound_multipart	te_0086_c01	reword	Identifies and points out to the student that they are confused about the algorithmic complexity of removeAll	Points out that the student has a misunderstanding about the algorithmic complexity of removeAll	"Reframed as a single positively-framed requirement on the tutor's response; 'identifies and points out' are one action, not two independent requirements."																		
compound_multipart	te_0086_c02	reword	"Explain that if the size of each element is constant, then 'm' is considered constant"	"Explains that if m (the collection size) is constant, then removeAll is linear, O(n)."	"Reframed as a tutor action and corrected the meaning of m to the collection size, since m is the number of elements in the collection, not the size of each element."																		
not_a_requirement	te_0086_c03	reword	"In the case of constant 'm', the algorithm is O(n)"	"Explains that when m (the size of the collection) is constant, removeAll is O(n)."	Reworded the bare fact into a positively framed requirement on the tutor's response.																		
compound_multipart	te_0087_c01	flag_for_human	Identifies and points out to the student that they are confused about terminology	Identifies and points out to the student that their error is in not properly understanding the terminology	"The student's question is a genuine conceptual inquiry, not a display of confusion, so the criterion's premise appears factually wrong and cannot be salvaged by rewording."																		
compound_multipart	te_0089_c01	reword	Identifies and points out to the student that they are confused about the run time complexity of searching for values in a binary search tree.	Acknowledges that the student is confused about the run time complexity of searching for values in a binary search tree.	"Reworded into a single requirement on the tutor's response with a 3rd-person action verb, removing redundant bundling."																		
compound_multipart	te_0090_c01	reword	Identifies and points out to the student that they are confused about the run time complexity of search in a binary search tree	States that the run time of findNode is proportional to the height of the tree because the search follows a single path down the tree rather than visiting every node	Reframed the vague meta-observation into a checkable requirement that the tutor explains why search runtime relates to tree height.																		
compound_multipart	te_0091_c01	reword	Identifies and points out to the student that they are confused about which relevance metric to use for the query sorting.	Points out that the student is confused about the meaning of the relevance metric used for query sorting.	Removed the redundant bundled verb and framed it as a single checkable requirement on the tutor's response.																		
compound_multipart	te_0093_c01	reword	Identifies and points out to the student that they are confused about implementing an OR operation	Points out that the student's proposed approach of simply adding the two sets together reflects a misunderstanding of how to implement the union (OR) operation.	Reframed as a single checkable requirement on the tutor identifying the student's specific confusion about OR implementation.																		
compound_multipart	te_0094_c01	reword	Identifies and points out to the student that they are confused about indexing	Points out that the student's confusion stems from list index numbering.	Convert the observation into a single positively-framed tutor action and remove the redundant 'identifies and' pairing.																		
compound_multipart	te_0095_c01	reword	Identifies and points out to the student that they are confused about list indexing	Points out that the student has misunderstood list indexing	Removed redundant 'identifies and points out' pairing into a single checkable action on the response.																		
compound_multipart	te_0096_c01	reword	"Identifies and points out to the student that they are wrong: the string ""cheese"" is not printed out at each iteration"	Corrects the student by stating that the literal string 'cheese' is not printed at each iteration; instead the value of each element is printed.	"Reframed as a single positively-framed requirement on the tutor's response, removing the redundant 'identifies and points out' bundling."																		
compound_multipart	te_0096_c02	reword	Identifies and points out to the student that they are confused about iterating through elements in a list	Identifies that the student is confused about how iterating through elements of a list works.	Removed the redundant compound phrasing into a single checkable requirement on the tutor's response.																		
not_a_requirement	te_0096_c04	reword	The string stored in each element of the list 'cheeses' will be printed out at each iteration	"Explains that each iteration prints the element (cheese value) currently referenced by the loop variable, not the literal word 'cheese'."	"Reframed as a requirement on the tutor's response addressing the student's misconception, using a 3rd-person action verb."																		
compound_multipart	te_0099_c01	flag_for_human	Identifies and points out to the student that they are confused	Acknowledges the student's expressed difficulty or struggle with the material.	"The student merely asked a definitional question and showed no confusion, so this criterion is not a checkable requirement grounded in the turn."																		
compound_multipart	te_0100_c01	reword	Identifies and points out to the student that they are confused about list operations	Identifies that the student is confused about how the multiplication operator works on lists.	Removed the redundant 'identifies and points out' pairing into a single checkable action about the tutor recognizing the student's confusion.																		
not_a_requirement	te_0101_c02	reword	"Since the expression t1.append(3) is of type None, t2 is None"	"Explains that list.append() returns None, so assigning t1.append(3) to t2 makes t2 None."	Reframed the bare fact as a requirement on the tutor's explanation.																		
not_a_requirement	te_0102_c01	split	Approaches for adding should include `append` and `+` operator.	Identifies the `append` method as an approach for adding elements to a Python list. ||| Identifies the `+` operator as an approach for adding elements to a Python list.	"The criterion bundles two independent approaches (append and +) into one requirement, so split them into atomic checkable requirements."																		
not_a_requirement	te_0102_c02	reword	"Approaches for deleting should include `del`, `pop` and `remove`."	"States that elements can be deleted from a list using del, pop, and remove."	Reframed as a positive requirement on the tutor's response with a lead action verb.																		
compound_multipart	te_0103_c01	flag_for_human	Identifies and points out to the student that they are confused about Python terminology	"Identifies that the student has a vocabulary question, properly explains what the term (pass by reference) means."	"The scenario shows a single question about passing by reference with no evidence of Python-specific confusion, so this criterion appears to be an unsupported presupposition that cannot be graded on the tutor's response."																		
not_a_requirement	te_0104_c04	reword	Tell the student that explicity raising exceptions can make errors more intelligible	States that explicitly raising exceptions can make errors more intelligible.	Reframed as a third-person requirement on the tutor's response and fixed the typo.																		
compound_multipart	te_0105_c01	reword	Identifies and points out to the student that they are confused about the relationship between dictionary keys and values	Points out that the student has confused the relationship between dictionary keys and values	Removed the redundant 'identifies and' pairing to leave a single checkable tutor action.																		
hedging	te_0105_c02	reword	Explain that multiple keys may map to the same value	"Explains that multiple keys may map to the same value, so a value does not uniquely identify a key."	Reframed as a 3rd-person requirement on the tutor's response while preserving the original meaning.																		
compound_multipart	te_0107_c01	flag_for_human	Identifies and points out to the student that they are confused about the advantage of dictionaries for this task	Explains what method can be used with dictionaries to make the task more efficient.	"The criterion presumes the student is confused, but the student's question simply asks how dictionaries could implement duplicate detection with no indication of confusion, so this is factually unsupported and not a checkable requirement."																		
compound_multipart	te_0107_c03	reword	"State that if an element 'x' is encountered and d[x] = True already, then there exists a duplicate"	"States that if an element x is encountered and it is already recorded in the dictionary, then a duplicate exists"	Reframed as a requirement on the tutor's response and clarified the vague d[x]=True phrasing while preserving meaning.																		
not_a_requirement	te_0108_c01	reword	list different hashable types in Python.	Lists multiple hashable types in Python.	Reframed the instruction as a checkable requirement on the tutor's response with a 3rd-person action verb.																		
compound_multipart	te_0112_c01	reword	Identifies and points out to the student that they are incorrect	"States that the student's belief is incorrect, i.e. that concatenating tuples does not contradict immutability."	Reframed as a single checkable requirement on the tutor's response with the specific content it must convey.																		
compound_multipart	te_0112_c02	reword	Identifies and points out to the student that they are confused about allowable operations with tuples	Points out that the student is confused about which operations are allowed on tuples	Removed the redundant 'identifies and' pairing into a single tutor action while preserving meaning.																		
compound_multipart	te_0113_c01	flag_for_human	Identifies and points out to the student that they are confused about definitions	Acknowledges the student's expressed difficulty or struggle with the material.	"The criterion is a bare restatement that the student is confused, not a checkable substantive requirement on the tutor's response to clarify the method/function distinction."																		
not_a_requirement	te_0113_c03	reword	Methods are functions that belong to a class	States that a method is a function that belongs to (is associated with) a class or object.	Converted a bare fact into a positively framed requirement on the tutor's response.																		
compound_multipart	te_0114_c01	split	Identifies and points out to the student that they are confused about the difference between a class and an object	"States that the result of instantiating a class is called an object (or instance), not a class ||| Points out that the student is confusing the class with the object"	The criterion bundles two independent tutor actions: correcting the terminology and flagging the student's confusion.																		
not_a_requirement	te_0118_c01	reword	convey to the student that it is acceptable to utilize print statements as part of the debugging process.	Acknowledges that using print statements is an acceptable part of the debugging process.	"Reframed as a positively-framed, checkable requirement on the tutor's response with a lead action verb."																		
not_a_requirement	te_0118_c02	reword	List some situations where debugger is preferred over print statements	Identifies situations where a debugger is preferred over print statements.	Reframed the instruction as a checkable requirement on the tutor's response using a 3rd-person action verb.																		
