scenario_id,op,old_id,new_id,old_text,new_text,note
tb_0008,format_consolidated,"tb_0008_c06,tb_0008_c07",tb_0008_c06,"2 orphan(s) -> aspects=['persona', 'structure', 'math']","The response should follow tutoring presentation conventions: address the student in the second person (conversational tutor voice); use clear Markdown structure (e.g., headings, bullets, or sections) where it aids clarity; render mathematical expressions in LaTeX. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)",
tb_0009,keep,tb_0009_c01,tb_0009_c01,The response must correctly identify that the friction torque opposes the applied torque and must be subtracted.,The response must correctly identify that the friction torque opposes the applied torque and must be subtracted.,"tranche_1C FP (opposes->subtract, one linked point); KEEP"
tb_0010,split,tb_0010_c01,tb_0010_c01,"The response must identify and explain the addition rule for mutually exclusive events as the main missing background knowledge, stating that P(A or B) = P(A) + P(B) when events cannot occur simultaneously.",The response must identify the addition rule for mutually exclusive events as the key missing background knowledge.,critical non-atomic; identify missing knowledge + state formula
tb_0010,split,tb_0010_c01,tb_0010_c02,"The response must identify and explain the addition rule for mutually exclusive events as the main missing background knowledge, stating that P(A or B) = P(A) + P(B) when events cannot occur simultaneously.",The response must state the rule: P(A or B) = P(A) + P(B) when the events cannot occur simultaneously.,critical non-atomic; identify missing knowledge + state formula
tb_0010,format_consolidated,tb_0010_c07,tb_0010_c08,1 orphan(s) -> aspects=['generic'],"The response should follow tutoring presentation conventions: be clearly and readably presented. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)",
tb_0011,split,tb_0011_c01,tb_0011_c01,"The response must explicitly identify and explain the core conceptual distinction by using the terms ""experimental unit"" and ""matching unit"" (or ""blocking unit""), clarifying that this distinction is the root of the student's confusion.",The response must identify the core conceptual distinction between an 'experimental unit' and a 'matching/blocking unit'.,critical non-atomic; identify distinction + explain it is root of confusion
tb_0011,split,tb_0011_c01,tb_0011_c02,"The response must explicitly identify and explain the core conceptual distinction by using the terms ""experimental unit"" and ""matching unit"" (or ""blocking unit""), clarifying that this distinction is the root of the student's confusion.",The response must explain that this distinction is the root of the student's confusion.,critical non-atomic; identify distinction + explain it is root of confusion
tb_0011,split,tb_0011_c03,tb_0011_c04,"The response must explicitly define ""experimental unit"" as the smallest entity to which treatment is independently applied, and then clearly explain why each of the 72 individual people constitutes an experimental unit based on this definition (i.e., independent treatment application to each).",The response must define 'experimental unit' as the smallest entity to which a treatment is independently applied.,critical non-atomic; define term + apply to the 72 people
tb_0011,split,tb_0011_c03,tb_0011_c05,"The response must explicitly define ""experimental unit"" as the smallest entity to which treatment is independently applied, and then clearly explain why each of the 72 individual people constitutes an experimental unit based on this definition (i.e., independent treatment application to each).",The response must explain why each of the 72 individuals is an experimental unit (treatment applied independently to each).,critical non-atomic; define term + apply to the 72 people
tb_0011,soften,tb_0011_c08,tb_0011_c10,"The response must present the explanation in a pedagogically optimal logical order that gradually builds understanding for a confused student, explicitly following a structure similar to the Golden Response (e.g., clarify the distinction first, then define/explain roles, then refute the misconception with an example, then summarize).","The response must present the explanation in a pedagogically effective logical order that gradually builds understanding for a confused student (e.g., clarify the distinction first, then define/explain the roles, then refute the misconception with an example, then summarize).","tranche_1A reference_leak; remove 'similar to the Golden Response', keep the described pedagogical ordering generically"
tb_0011,format_consolidated,tb_0011_c10,tb_0011_c12,1 orphan(s) -> aspects=['structure'],"The response should follow tutoring presentation conventions: use clear Markdown structure (e.g., headings, bullets, or sections) where it aids clarity. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)",
tb_0012,format_consolidated,tb_0012_c07,tb_0012_c07,1 orphan(s) -> aspects=['structure'],"The response should follow tutoring presentation conventions: use clear Markdown structure (e.g., headings, bullets, or sections) where it aids clarity. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)",
tb_0013,keep,tb_0013_c02,tb_0013_c02,"The response must explain conditional independence by stating that if we already know for certain whether the person has the disorder or not, then learning one test's result tells us nothing new about the other test's result","The response must explain conditional independence by stating that if we already know for certain whether the person has the disorder or not, then learning one test's result tells us nothing new about the other test's result",tranche_1C FP (one conditional-independence explanation); KEEP
tb_0013,split,tb_0013_c03,tb_0013_c03,The response must state the multiplication rule for conditional independence: P(A and B | C) = P(A | C) x P(B | C) and provide the actual calculations showing 0.92 x 0.88 = 0.8096.,The response must state the multiplication rule for conditional independence: P(A and B | C) = P(A | C) × P(B | C).,tranche_1C critical non_atomic; state rule AND provide computation
tb_0013,split,tb_0013_c03,tb_0013_c04,The response must state the multiplication rule for conditional independence: P(A and B | C) = P(A | C) x P(B | C) and provide the actual calculations showing 0.92 x 0.88 = 0.8096.,The response must provide the calculation showing 0.92 × 0.88 = 0.8096.,tranche_1C critical non_atomic; state rule AND provide computation
tb_0014,split,tb_0014_c02,tb_0014_c02,"The response must describe the two-step activation of Kinase Z: (a) allosteric release of the autoinhibitory tail when Z binds Protein Y, then (b) phosphorylation of Thr 183 in Z's activation loop by the helper kinase CK-α.",The response must describe step (a): allosteric release of the autoinhibitory tail when Kinase Z binds Protein Y.,critical non-atomic; two-step activation mechanism
tb_0014,split,tb_0014_c02,tb_0014_c03,"The response must describe the two-step activation of Kinase Z: (a) allosteric release of the autoinhibitory tail when Z binds Protein Y, then (b) phosphorylation of Thr 183 in Z's activation loop by the helper kinase CK-α.",The response must describe step (b): phosphorylation of Thr 183 in Z's activation loop by the helper kinase CK-α.,critical non-atomic; two-step activation mechanism
tb_0014,format_consolidated,tb_0014_c08,tb_0014_c10,1 orphan(s) -> aspects=['structure'],"The response should follow tutoring presentation conventions: use clear Markdown structure (e.g., headings, bullets, or sections) where it aids clarity. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)",
tb_0015,keep,tb_0015_c02,tb_0015_c02,The response must elaborate on the question regarding the distance between the disk center and the block by explaining that the instantaneous (t=0) angular acceleration should be computed. ,The response must elaborate on the question regarding the distance between the disk center and the block by explaining that the instantaneous (t=0) angular acceleration should be computed. ,tranche_1C FP (one elaboration); KEEP
tb_0015,split,tb_0015_c07,tb_0015_c07,"The response must acknowledge that the original value for the torque is incorrect, because the torque from the friction should be subtracted, not added (i.e., $\tau_{net}=\tau_1-\tau_2$).",The response must acknowledge that the student's original value for the net torque is incorrect.,"tranche_1C critical non_atomic; identify+correct, no sibling correction"
tb_0015,split,tb_0015_c07,tb_0015_c08,"The response must acknowledge that the original value for the torque is incorrect, because the torque from the friction should be subtracted, not added (i.e., $\tau_{net}=\tau_1-\tau_2$).","The response must explain the correction: the friction torque should be subtracted, not added, giving \(\tau_{net} = \tau_1 - \tau_2\).","tranche_1C critical non_atomic; identify+correct, no sibling correction"
tb_0015,format_consolidated,tb_0015_c09,tb_0015_c10,1 orphan(s) -> aspects=['structure'],"The response should follow tutoring presentation conventions: use clear Markdown structure (e.g., headings, bullets, or sections) where it aids clarity. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)",
tb_0017,keep,tb_0017_c05,tb_0017_c05,"The response must correctly state that the original mechanism indicates this is a ""fast pre-equilibrium,"" which means it is a reversible reaction and should be represented by a double arrow (⇌). ","The response must correctly state that the original mechanism indicates this is a ""fast pre-equilibrium,"" which means it is a reversible reaction and should be represented by a double arrow (⇌). ","tranche_1C FP (fast pre-equilibrium->reversible->double arrow, one chain); KEEP"
tb_0017,keep,tb_0017_c08,tb_0017_c08,The response must identify that the student incorrectly suggests the rate law should be Rate = K1[H₂O₂][I⁻][H⁺].,The response must identify that the student incorrectly suggests the rate law should be Rate = K1[H₂O₂][I⁻][H⁺].,"tranche_1C FP (identify-only, no correction); KEEP"
tb_0017,keep,tb_0017_c18,tb_0017_c18,"The response must correctly state that in the given mechanism, k₂ is the rate constant for Step 2, which is explicitly identified as the slow (rate-determining) step, not a ""faster step.""","The response must correctly state that in the given mechanism, k₂ is the rate constant for Step 2, which is explicitly identified as the slow (rate-determining) step, not a ""faster step.""",tranche_1C FP (one fact about k2/rate-determining step); KEEP
tb_0018,format_consolidated,tb_0018_c04,tb_0018_c06,"1 orphan(s) -> aspects=['structure', 'math']","The response should follow tutoring presentation conventions: use clear Markdown structure (e.g., headings, bullets, or sections) where it aids clarity; render mathematical expressions in LaTeX. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)",
tb_0019,split,tb_0019_c01,tb_0019_c01,"The response must correctly identify that \( X \sim \text{Binomial}(n = 10, p = 0.35) \) is a valid approximation, and explicitly justify this using the condition \( \frac{n}{N} < 0.10 \), where \( N = 120 \). The response must also mention that the original distribution is hypergeometric due to sampling without replacement, and explain why binomial is acceptable.","The response must identify that X ~ Binomial(n = 10, p = 0.35) is a valid approximation.",critical non-atomic; validity claim + n/N justification + hypergeometric rationale
tb_0019,split,tb_0019_c01,tb_0019_c02,"The response must correctly identify that \( X \sim \text{Binomial}(n = 10, p = 0.35) \) is a valid approximation, and explicitly justify this using the condition \( \frac{n}{N} < 0.10 \), where \( N = 120 \). The response must also mention that the original distribution is hypergeometric due to sampling without replacement, and explain why binomial is acceptable.",The response must justify this using the condition n/N < 0.10 (with N = 120).,critical non-atomic; validity claim + n/N justification + hypergeometric rationale
tb_0019,split,tb_0019_c01,tb_0019_c03,"The response must correctly identify that \( X \sim \text{Binomial}(n = 10, p = 0.35) \) is a valid approximation, and explicitly justify this using the condition \( \frac{n}{N} < 0.10 \), where \( N = 120 \). The response must also mention that the original distribution is hypergeometric due to sampling without replacement, and explain why binomial is acceptable.",The response must note that the exact distribution is hypergeometric (sampling without replacement) and explain why the binomial approximation is acceptable.,critical non-atomic; validity claim + n/N justification + hypergeometric rationale
tb_0019,soften,tb_0019_c02,tb_0019_c04,"The response must declare the random variable as \( X \sim \text{Binomial}(n = 10, p = 0.35) \) using formal notation and define both \( n = 10 \) (sample size) and \( p = 0.35 \) (proportion working over 40 hours) in context. Any missing label or undefined parameter leads to failure.","The response must declare the random variable as \( X \sim \text{Binomial}(n = 10, p = 0.35) \) using formal notation and define both \( n = 10 \) (sample size) and \( p = 0.35 \) (proportion working over 40 hours) in context.","tranche_1A absolute_failure; drop 'Any missing label ... leads to failure' tail, keep the declaration requirement"
tb_0019,split,tb_0019_c03,tb_0019_c05,The response must explicitly show that \( P(X \geq 2) = 1 - P(X = 0) - P(X = 1) \) and must calculate both \( P(X = 0) \) and \( P(X = 1) \) separately. Failure to show this complement transformation step in full leads to failure.,The response must use the complement identity P(X≥2) = 1 − P(X=0) − P(X=1).,critical non-atomic; complement identity + two probability computations (soften: drop 'failure to show in full' language)
tb_0019,split,tb_0019_c03,tb_0019_c06,The response must explicitly show that \( P(X \geq 2) = 1 - P(X = 0) - P(X = 1) \) and must calculate both \( P(X = 0) \) and \( P(X = 1) \) separately. Failure to show this complement transformation step in full leads to failure.,The response must compute P(X=0).,critical non-atomic; complement identity + two probability computations (soften: drop 'failure to show in full' language)
tb_0019,split,tb_0019_c03,tb_0019_c07,The response must explicitly show that \( P(X \geq 2) = 1 - P(X = 0) - P(X = 1) \) and must calculate both \( P(X = 0) \) and \( P(X = 1) \) separately. Failure to show this complement transformation step in full leads to failure.,The response must compute P(X=1).,critical non-atomic; complement identity + two probability computations (soften: drop 'failure to show in full' language)
tb_0019,split,tb_0019_c04,tb_0019_c08,"The response must correctly apply the binomial formula:   \[ P(X = k) = \binom{n}{k} p^k (1 - p)^{n - k} \]   and must do so for both \( k = 0 \) and \( k = 1 \), showing all terms before evaluating. Omitting the combinatorial term or the powers leads to failure. ","The response must apply the binomial pmf P(X=k) = C(n,k) p^k (1−p)^(n−k) for k = 0, showing the terms.",critical non-atomic; apply binomial pmf for k=0 and k=1 (soften: drop 'omitting ... leads to failure')
tb_0019,split,tb_0019_c04,tb_0019_c09,"The response must correctly apply the binomial formula:   \[ P(X = k) = \binom{n}{k} p^k (1 - p)^{n - k} \]   and must do so for both \( k = 0 \) and \( k = 1 \), showing all terms before evaluating. Omitting the combinatorial term or the powers leads to failure. ","The response must apply the binomial pmf for k = 1, showing the terms.",critical non-atomic; apply binomial pmf for k=0 and k=1 (soften: drop 'omitting ... leads to failure')
tb_0019,soften,tb_0019_c05,tb_0019_c10,The response must explicitly state that the binomial distribution is an \textbf{approximation} to the hypergeometric distribution due to \( n \ll N \). Failure to name the original distribution or to state that binomial is an approximation results in failure.,The response must state that the binomial distribution is an approximation to the hypergeometric distribution because \( n \ll N \).,tranche_1A absolute_failure; drop 'Failure to name ... results in failure' tail
tb_0019,soften,tb_0019_c08,tb_0019_c13," The response must label all probabilities, variables, and constants using consistent notation and, where appropriate, include units (e.g., “employees”, “%”, or “trials”) in the interpretation. All symbols such as $X$, $p$, $n$, and $P(X \geq 2)$ must be reused without variation or informal renaming. Any switch in variable notation (e.g., using both “success” and “employee working >40 hours” without defining equivalence), omission of units in the final interpretation, or redefinition of symbols causes failure.  ","The response should use consistent notation for variables and probabilities (e.g., X, p, n, P(X≥2)) and include appropriate units in its final interpretation. Minor informal restatements are acceptable as long as the meaning remains unambiguous.","critical, rigid mega-criterion (absolute 'any switch ... causes failure'). Soften per Q5 spirit; keep as one presentation check."
tb_0020,keep,tb_0020_c02,tb_0020_c02,The response must explain how to deduce that gene A exhibits incomplete dominance by pointing out that AA and Aa show different phenotypes.,The response must explain how to deduce that gene A exhibits incomplete dominance by pointing out that AA and Aa show different phenotypes.,tranche_1C FP (one incomplete-dominance deduction); KEEP
tb_0020,split,tb_0020_c07,tb_0020_c07,The response must demonstrate that the final ratio of offspring color resulting from this genetic model matches the ratio in the original question. It should at least point out the segregation of each gene: a 1 : 2 : 1 segregation at gene A (black : gray : brown) and a 3 : 1 segregation at gene B (pigmented : white).,The response must show that the offspring color ratio produced by the genetic model matches the ratio in the original question.,critical non-atomic; final-ratio match + two per-gene segregation facts
tb_0020,split,tb_0020_c07,tb_0020_c08,The response must demonstrate that the final ratio of offspring color resulting from this genetic model matches the ratio in the original question. It should at least point out the segregation of each gene: a 1 : 2 : 1 segregation at gene A (black : gray : brown) and a 3 : 1 segregation at gene B (pigmented : white).,The response must note the 1:2:1 segregation at gene A (black : gray : brown).,critical non-atomic; final-ratio match + two per-gene segregation facts
tb_0020,split,tb_0020_c07,tb_0020_c09,The response must demonstrate that the final ratio of offspring color resulting from this genetic model matches the ratio in the original question. It should at least point out the segregation of each gene: a 1 : 2 : 1 segregation at gene A (black : gray : brown) and a 3 : 1 segregation at gene B (pigmented : white).,The response must note the 3:1 segregation at gene B (pigmented : white).,critical non-atomic; final-ratio match + two per-gene segregation facts
tb_0020,format_consolidated,tb_0020_c09,tb_0020_c14,1 orphan(s) -> aspects=['structure'],"The response should follow tutoring presentation conventions: use clear Markdown structure (e.g., headings, bullets, or sections) where it aids clarity. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)",
tb_0021,keep,tb_0021_c02,tb_0021_c02,The model should connect the skipping behavior to correct loop control. It should show why i += 2 is necessary in the logic of the code.,The model should connect the skipping behavior to correct loop control. It should show why i += 2 is necessary in the logic of the code.,tranche_1C FP (one point about i+=2 loop control); KEEP
tb_0021,split,tb_0021_c03,tb_0021_c03,The model must provide a relatable example like AABC just to show how skipping will prevent incorrect repeated swaps. (The example must illustrate how the same letter could be swapped multiple times if we dont skip 2 letters after a swap).,"The response must provide a relatable example (e.g., 'AABC') showing how skipping prevents incorrect repeated swaps.",critical non-atomic; example + what the example must illustrate
tb_0021,split,tb_0021_c03,tb_0021_c04,The model must provide a relatable example like AABC just to show how skipping will prevent incorrect repeated swaps. (The example must illustrate how the same letter could be swapped multiple times if we dont skip 2 letters after a swap).,"The example must illustrate that, without skipping two letters after a swap, the same letter could be swapped multiple times.",critical non-atomic; example + what the example must illustrate
tb_0022,keep,tb_0022_c02,tb_0022_c02,The response must explain that both methods should give a total time of 40s when kinematic formulas are set up correctly,The response must explain that both methods should give a total time of 40s when kinematic formulas are set up correctly,tranche_1C FP (one point: both methods give 40s); KEEP
tb_0022,keep,tb_0022_c04,tb_0022_c04,The response must identify that the student incorrectly set up the start and end points as x and 15x (should be 0 and 15x OR x and 16x),The response must identify that the student incorrectly set up the start and end points as x and 15x (should be 0 and 15x OR x and 16x),tranche_1C identify+correct but sibling c07 states the correction; KEEP as identify
tb_0022,keep,tb_0022_c07,tb_0022_c07,"The response must clarify that if x is the starting point for the second leg, the end point must be 16x, not 15x, since (x_f-x_0) needs to represent the total distance","The response must clarify that if x is the starting point for the second leg, the end point must be 16x, not 15x, since (x_f-x_0) needs to represent the total distance",tranche_1C FP (one clarification: end must be 16x); KEEP
tb_0022,format_consolidated,tb_0022_c08,tb_0022_c09,"1 orphan(s) -> aspects=['structure', 'math']","The response should follow tutoring presentation conventions: use clear Markdown structure (e.g., headings, bullets, or sections) where it aids clarity; render mathematical expressions in LaTeX. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)",
tb_0023,format_consolidated,"tb_0023_c07,tb_0023_c08",tb_0023_c07,"2 orphan(s) -> aspects=['persona', 'structure']","The response should follow tutoring presentation conventions: address the student in the second person (conversational tutor voice); use clear Markdown structure (e.g., headings, bullets, or sections) where it aids clarity. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)",
tb_0024,format_consolidated,tb_0024_c07,tb_0024_c12,1 orphan(s) -> aspects=['persona'],"The response should follow tutoring presentation conventions: address the student in the second person (conversational tutor voice). (Style/presentation only; not a content, diagnosis, or scaffolding skill.)",
tb_0027,keep,tb_0027_c02,tb_0027_c02,"The response must explain that, for X-linked recessive inheritance, both parents of an affected individual must include an affected father and the mother needs to be affected or a carrier.","The response must explain that, for X-linked recessive inheritance, both parents of an affected individual must include an affected father and the mother needs to be affected or a carrier.",tranche_1C FP (one X-linked recessive inheritance rule); KEEP
tb_0027,keep,tb_0027_c03,tb_0027_c03,"The response must explain that the pedigree fits X-linked recessive because I-2 has to be $X^aX^a$, so her father was affected and mother was at least a carrier.","The response must explain that the pedigree fits X-linked recessive because I-2 has to be $X^aX^a$, so her father was affected and mother was at least a carrier.",tranche_1C FP (one applied pedigree explanation); KEEP
tb_0028,keep,tb_0028_c02,tb_0028_c02,"The response must identify the main missing background knowledge: For radioactive decay problems, it's crucial to understand the difference between a mass ratio and a number-of-atoms ratio. While the decay law operates on the number of atoms (how many radioactive particles are left or have decayed), the question may give only the mass ratio. When the parent and daughter isotopes have different mass numbers (as U-238 and Pb-206 do), their individual atomic masses are different. A simple direct equivalence between their mass ratio and their number-of-atoms ratio cannot be assumed. You must use their respective mass numbers as a conversion factor to accurately translate a mass ratio into a number-of-atoms ratio for use in the decay equations. ","The response must identify the main missing background knowledge: For radioactive decay problems, it's crucial to understand the difference between a mass ratio and a number-of-atoms ratio. While the decay law operates on the number of atoms (how many radioactive particles are left or have decayed), the question may give only the mass ratio. When the parent and daughter isotopes have different mass numbers (as U-238 and Pb-206 do), their individual atomic masses are different. A simple direct equivalence between their mass ratio and their number-of-atoms ratio cannot be assumed. You must use their respective mass numbers as a conversion factor to accurately translate a mass ratio into a number-of-atoms ratio for use in the decay equations. ","tranche_1C FP (one missing-background concept, long); KEEP"
tb_0028,split,tb_0028_c06,tb_0028_c06,"The response must state that you have inverted the order of the substances in your expression of the mass ratio, and the correct ratio given in the problem is: (amount of Pb-206 formed)/(U-238 remaining) = 7.",The response must identify that the student inverted the order of the substances in the mass ratio.,"tranche_1C critical non_atomic; identify+correct, no sibling correction"
tb_0028,split,tb_0028_c06,tb_0028_c07,"The response must state that you have inverted the order of the substances in your expression of the mass ratio, and the correct ratio given in the problem is: (amount of Pb-206 formed)/(U-238 remaining) = 7.",The response must state the correct ratio: (amount of Pb-206 formed) / (U-238 remaining) = 7.,"tranche_1C critical non_atomic; identify+correct, no sibling correction"
tb_0028,keep,tb_0028_c07,tb_0028_c08,"The response must explain that the student is right to question this calculation. The ratio given is a mass ratio, not a number-of-atoms ratio. To convert it to a number-of-atoms ratio, you need to consider the mass numbers (or atomic masses) of Pb-206 and U-238.","The response must explain that the student is right to question this calculation. The ratio given is a mass ratio, not a number-of-atoms ratio. To convert it to a number-of-atoms ratio, you need to consider the mass numbers (or atomic masses) of Pb-206 and U-238.","tranche_1C FP (one explanation, overlaps c02/c06); KEEP"
tb_0028,split,tb_0028_c09,tb_0028_c10,"The response must identify the student's error in the final answer: the question asks ""What is the value of P?"", the answer should be P = 143. While 1.43×10^10 years is the correct age, it's not the value of P itself.",The response must identify that the student reported the age (1.43×10^10 years) rather than the requested value of P.,"tranche_1C critical non_atomic; identify+correct, no sibling correction"
tb_0028,split,tb_0028_c09,tb_0028_c11,"The response must identify the student's error in the final answer: the question asks ""What is the value of P?"", the answer should be P = 143. While 1.43×10^10 years is the correct age, it's not the value of P itself.",The response must state that the correct value is P = 143.,"tranche_1C critical non_atomic; identify+correct, no sibling correction"
tb_0030,split,tb_0030_c07,tb_0030_c07,"The response must acknowledge the student’s missing background understanding, specifically, the misconception that the regression equation should yield exact values for each case or that predicted values should preserve the sample mean.",The response must acknowledge the student's misconception that the regression equation should yield exact values for each case.,tranche_1C critical non_atomic; two distinct misconceptions bundled
tb_0030,split,tb_0030_c07,tb_0030_c08,"The response must acknowledge the student’s missing background understanding, specifically, the misconception that the regression equation should yield exact values for each case or that predicted values should preserve the sample mean.",The response must acknowledge the student's misconception that predicted values should preserve the sample mean.,tranche_1C critical non_atomic; two distinct misconceptions bundled
