model,adaptive_items_se0.3,random_items_se0.3,adaptive_items_se0.2,random_items_se0.2,adaptive_items_se0.1,random_items_se0.1
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr_stories.no_issue,8,14,8,16,16,44
ontocord/wide_3b_sft_stage1.2-ss1-expert_fictional_lyrical,8,14,8,20,48,34
oopere/pruned20-llama-1b,8,10,8,30,8,242
openbmb/MiniCPM-S-1B-sft-llama-format,8,40,8,52,9,88
pankajmathur/orca_mini_v9_6_3B-Instruct,8,26,8,68,8,142
princeton-nlp/Sheared-LLaMA-2.7B,8,11,8,12,8,30
prithivMLmods/Llama-3.2-3B-Math-Oct,8,12,13,25,17,38
prithivMLmods/Llama-Deepsync-3B,8,11,9,15,12,32
qingy2019/LLaMa_3.2_3B_Catalysts,8,9,9,14,12,58
rombodawg/Rombos-LLM-V2.5-Qwen-1.5b,8,8,8,8,16,28
ruizhe1217/sft-s1-qwen-0.5b,8,22,8,22,10,52
shastraai/Shastra-LLAMA2-Math-Commonsense-SFT,8,8,8,12,14,58
sumink/bbhqwen3,9,25,11,25,99,70
tangledgroup/tangled-llama-pints-1.5b-v0.1-instruct,8,54,8,64,11,81
tinycompany/ShawtyIsBad-bgem3,8,8,8,13,10,27
vhab10/Llama-3.2-Instruct-3B-TIES,8,8,8,9,18,77
yasserrmd/Coder-GRPO-3B,8,8,8,10,8,22
zake7749/gemma-2-2b-it-chinese-kyara-dpo,8,12,8,16,10,108
zelk12/Test01012025155054,9,48,11,49,48,224
